,0,1
0,6920,12021
1,11484,11621
2,6728,6729
3,6997,7068
4,11489,12102
5,11296,11833
6,3144,3161
7,5847,7981
8,6001,11988
9,13984,13985
10,11907,12183
11,13473,13647
12,1955,3295
13,3592,3786
14,11454,11501
15,11292,17010
16,7846,7852
17,13589,13593
18,6889,7092
19,4743,5649
20,13424,14427
21,1427,1440
22,1988,2021
23,3537,3546
24,8141,11054
25,13530,13567
26,10455,10690
27,3927,4353
28,14931,16927
29,11325,11493
30,11212,11471
31,11168,11648
32,1555,2713
33,11419,11791
34,10705,11052
35,4004,4285
36,11375,11547
37,13340,16800
38,2829,3615
39,5103,5309
40,10879,10880
41,2108,7162
42,3556,3679
43,10938,11031
44,6869,6901
45,7657,12045
46,1993,2124
47,7451,7888
48,11403,12202
49,3749,3796
50,6153,6154
51,11483,11526
52,16369,16372
53,4453,4473
54,11437,12203
55,6927,6996
56,11175,11551
57,8356,10446
58,11979,12019
59,6995,7191
60,11408,11650
61,3571,3678
62,11430,11675
63,12046,12103
64,5886,11409
65,5960,17016
66,2721,3147
67,6624,6628
68,11715,11945
69,16384,16400
70,7973,17009
71,12703,13071
72,7398,9893
73,6891,17027
74,13455,14074
75,578,5137
76,2039,3661
77,6008,13839
78,8132,10560
79,11554,11585
80,16082,16756
81,13806,13908
82,11906,11946
83,2392,3563
84,11455,11976
85,5828,7772
86,7833,11544
87,4040,5369
88,7397,11473
89,276,2139
90,4765,6224
91,6550,6691
92,5796,5822
93,463,754
94,5823,6041
95,13418,13461
96,8189,10670
97,8042,16589
98,386,7836
99,2865,2913
100,5927,10330
101,1857,3211
102,1262,3294
103,11980,17019
104,10747,11039
105,3769,3813
106,11492,11808
107,13304,13374
108,5817,5842
109,9623,9624
110,10520,10555
111,11326,11359
112,7217,7218
113,13554,13634
114,7172,8212
115,13229,13408
116,11927,11939
117,12250,13318
118,7804,17031
119,11975,12000
120,8213,10738
121,11487,11524
122,4438,7100
123,894,2070
124,13602,13603
125,532,3544
126,5478,7203
127,13198,13341
128,10390,10686
129,1994,15873
130,13624,13625
131,16020,16262
132,6309,6547
133,5515,5544
134,1933,2922
135,249,256
136,10196,16227
137,16992,16999
138,12745,14512
139,1103,5297
140,8173,10529
141,3507,3517
142,2416,16217
143,11941,11953
144,11268,11940
145,4889,4924
146,11210,12168
147,14975,15195
148,14039,14240
149,1735,1750
150,5957,7953
151,1202,3773
152,9422,9423
153,14776,14817
154,1791,1806
155,1706,1764
156,9625,11762
157,17012,17079
158,11757,11776
159,401,1573
160,3484,4972
161,7149,16150
162,6727,7774
163,3183,3752
164,7153,7224
165,11476,11886
166,8147,10382
167,12615,14364
168,2258,2320
169,6215,7964
170,5216,10585
171,14519,15155
172,6835,16965
173,10443,10675
174,15060,16750
175,13406,13769
176,13417,13499
177,3745,11504
178,4006,9175
179,10480,10653
180,1916,9424
181,6057,6528
182,16938,17007
183,206,14011
184,8265,9266
185,10893,16022
186,6640,8011
187,13178,13230
188,8152,10436
189,5198,5376
190,2067,7242
191,12755,12773
192,3655,4778
193,13572,13623
194,11288,11392
195,8208,8340
196,5454,15261
197,14609,15255
198,13155,13157
199,7198,11522
200,8382,12036
201,13286,17046
202,1514,3325
203,6509,7567
204,3477,4953
205,10085,16086
206,8668,8677
207,12811,12814
208,13468,13588
209,4517,5107
210,6896,6911
211,10876,11097
212,5404,5881
213,8698,10233
214,5850,13517
215,5940,6299
216,2018,2459
217,1060,1991
218,14270,14388
219,3235,8498
220,5441,16299
221,16446,16752
222,13165,13312
223,1892,2306
224,1905,2098
225,7299,8334
226,6768,6812
227,4044,4785
228,3369,5976
229,4246,6386
230,12528,12702
231,12471,12559
232,2685,5590
233,16229,16356
234,2465,13617
235,14230,15008
236,5308,5638
237,5963,9430
238,6123,6378
239,4381,4938
240,1226,2748
241,8758,8815
242,92,4554
243,14706,14792
244,1505,1812
245,4929,5470
246,934,2395
247,5932,10129
248,14022,16799
249,11527,17042
250,2122,2148
251,3591,17051
252,8217,8220
253,12233,12237
254,11860,11862
255,3848,5112
256,11198,11635
257,14176,14419
258,3280,3490
259,3983,4055
260,16081,16092
261,13938,14124
262,16304,16330
263,1031,1604
264,5504,13009
265,14365,14455
266,14276,15003
267,1811,3222
268,3180,3230
269,15410,15411
270,12462,15375
271,8985,14086
272,8023,13478
273,8609,8617
274,13630,13860
275,12374,13110
276,12542,12890
277,14878,14880
278,14711,14918
279,12534,13521
280,937,4263
281,5306,8013
282,1922,2220
283,12706,17026
284,2348,2381
285,11062,16357
286,8219,16091
287,295,5524
288,14175,14346
289,7060,7384
290,9684,11735
291,7065,17119
292,16694,16745
293,12305,13331
294,11393,17069
295,12014,12137
296,5401,13641
297,1754,3149
298,5351,5970
299,13614,13635
300,3334,5931
301,4769,4796
302,9603,9703
303,4609,4724
304,2749,5763
305,3614,10093
306,13587,13876
307,846,4112
308,179,3794
309,5079,14210
310,11560,11872
311,5150,7059
312,1250,7610
313,8942,16132
314,2870,5467
315,5762,5766
316,951,6964
317,5843,5972
318,6860,7685
319,3886,4962
320,2314,2428
321,1268,1772
322,8106,10483
323,3047,4936
