NAME,Agassiz,Allston,Area 2/MIT,BROOKLINE_02445,BROOKLINE_02446,Back Bay,Bay Village,Beacon Hill,Brighton,Cambridgeport,Charlestown,Chinatown,Dorchester,Downtown,EVERETT_02149,East Boston,East Cambridge,Fenway,Jamaica Plain,Leather District,Longwood Medical Area,MEDFORD_02155,Mid-Cambridge,Mission Hill,Neighborhood Nine,North Cambridge,North End,Riverside,Roxbury,SOMERVILLE_02143,SOMERVILLE_02144,SOMERVILLE_02145,South Boston,South Boston Waterfront,South End,The Port,WATERTOWN_02472,Wellington-Harrington,West Cambridge,West End,cluster_outof_2,cluster_outof_3,cluster_outof_4,cluster_outof_5,cluster_outof_6,cluster_outof_7
Agassiz,0,0.54882,1.4254,0.28244,0.028344,0,0,0.67611,0.9519,0,0,0,0,0.61884,0,0,0,0,0,0,0.14997,0.33001,2.2786,0.11279,1.3341,0.16702,0.17937,0,0.1143,0,0,0.14187,0,0,0.46437,0,0,0.5509,0.3261,0.61048,0,0,0,4,2,5
Allston,0.45952,0,2.9551,0.34409,1.3287,0.5683,0.36537,0.277,1.0127,1.2625,1.9847,0.035634,2.1586,0.65822,2.5087,0.547,1.7897,0.94411,0.68856,0.82331,0.79813,1.6089,0.75762,1.3668,1.3976,1.664,0.29347,2.1258,1.2192,0.44692,1.0943,0.75622,2.0337,0.4548,0.48447,0.27222,4.8547,0.85347,2.2784,0.4549,0,0,0,0,5,4
Area 2/MIT,0.50031,1.8677,0,0,0.16997,0.95467,1.0836,2.4873,1.6262,0.29966,1.2595,0.56829,1.0092,1.0634,1.5236,0.19215,0.060441,0.24743,0.61502,0,0.080806,0,0.30047,0,1.4207,0.69363,1.1883,0.96309,1.7257,0.96502,0,0.060545,0,0.78975,0.77806,0.23398,0.83648,0.57936,0,1.4863,0,0,0,1,1,1
BROOKLINE_02445,3.1974,0,0,0,2.5275,0.35192,0,1.5188,0.93899,0.34596,0.14892,0,0.61324,0,0,0.23425,0.97042,1.1072,2.4295,0,2.8796,2.9522,0.47429,0.57818,0.12624,0.1115,0.56264,0,0.26191,0.28382,0.2066,0,0.54268,0.1095,0.14191,0.60782,1.209,0.49306,1.0453,0.2109,0,0,0,1,4,3
BROOKLINE_02446,1.8774,0.091915,1.2143,2.4769,0,1.6391,0.42834,0.85019,0.77856,0,0,0,0,0.14346,0,0.76937,0.16378,1.4849,0.4171,0,1.8711,0.24779,0.50747,0.73765,0.2583,0.21691,0.46792,0.24406,0.36555,0.65987,0.2252,0,0.45653,0,0.2954,0,0.14986,0,0.50132,0.78573,0,0,0,1,4,3
Back Bay,0.27594,0,1.0686,0,0.12543,0,1.1883,1.4517,0,0.62867,0.87433,2.4515,0,5.344,0,0,0.33068,0.82026,0.43553,3.3933,0.53869,0.24256,0,0.48982,0,0.23732,3.1287,0.96942,0,0.019489,0,0,0.5355,1.24,0.72001,0.41543,0,1.0287,0.41232,1.4532,1,2,3,2,0,2
Bay Village,0.52072,0.58768,0.063863,0,0.55636,1.7227,0,2.4284,0.15452,0.20015,0,0.45418,0,1.5662,0,0,1.2397,2.7987,0.8163,0,0.23589,0,0.92403,0.14474,0,0,2.364,1.0819,0.17551,0.21992,0,0,0,0.58878,2.8525,0.097446,0,1.0384,0,1.4822,1,2,2,1,1,1
Beacon Hill,0,0,1.1122,0.076111,1.0062,1.3757,4.2068,0,0,0.6253,0.62135,2.499,0,3.185,0,0.15286,1.1418,0.77197,0,2.1388,0.49337,0,0.2424,0.25467,0,0,1.4701,0.70018,1.1881,0,0,0.27928,0.84959,0,2.1861,0.60499,0,1.1173,0.19259,2.2945,1,2,3,1,1,1
Brighton,1.5988,0.21253,0.2657,0.16132,0.034649,0,0.40697,0,0,0.95857,0.24196,0,1.5427,0.20037,0.27677,0,0.24117,0.048549,0.45534,0,0.69604,0.69301,0.27426,0.12365,0.033834,0.40197,0.45093,0.42551,0.58728,1.0241,0.79541,0.31603,0.45574,0.18268,0,0.20845,1.4848,0.12558,0.5548,0.10737,0,0,0,0,5,4
Cambridgeport,0.44913,1.1275,2.1048,1.4195,1.7085,0.77424,0.10106,0.61793,0.82068,0,1.0274,0.55489,0.53959,0.48064,2.0803,1.0914,1.4067,1.8746,1.2151,0,1.8218,1.0417,1.1204,1.5339,0.875,4.2772,0.6334,1.4772,2.7324,0.90684,0.59176,1.5413,0.91119,1.437,2.0709,0.70591,0.77098,0.62057,2.9253,0.15982,0,0,0,1,4,3
Charlestown,0,0.040616,0.25403,0,0.1172,0,0,0.20449,0.13955,0.46869,0,1.5235,0.32958,0,1.3374,0.52849,0.48467,0,0.27245,0.2624,0,0,0.25503,0.60328,0,0.44269,0.047802,0.1996,0,1.3716,0.022826,0.15576,0,0.39547,0.19069,0.13657,0.10251,0.27223,0.4594,0.46381,0,1,1,0,5,6
Chinatown,1.1128,1.4252,0.97838,0,0.12172,2.3142,2.9556,0.46508,0,1.3252,0.49355,0,0.49743,3.7139,2.3706,0.69248,1.7286,1.408,0,9.7358,2.1295,0,0,0.19537,0.46043,0,1.331,0,0.77417,0,0,0.22567,0,0.56239,1.052,0.54376,0.18871,0.39382,0.72446,2.2151,1,2,3,2,0,2
Dorchester,0.77654,1.1143,0.92389,0.60467,0.95966,0.34909,0,0,0.60674,0.97141,1.5908,0.062359,0,0.4901,0.57872,0.35027,0.10333,1.4385,2.0011,0,0.46897,3.1046,1.0027,1.6481,0.88226,2.3019,0,0.61722,2.3169,1.2046,0.58386,1.4264,0.65274,0.42427,0.27807,0.078976,0.93645,1.1411,1.2585,0.9302,0,0,0,0,4,3
Downtown,1.0527,0.3297,0.968,0,1.1977,1.7693,2.1,1.4778,0,0.56853,1.3377,3.7546,0,0,0.63143,1.486,0.30364,1.809,0.13931,3.9793,1.1938,0,0.28754,0.22518,0,0,0.24264,1.2432,0,0.67563,0,0.17787,0,0.76366,1.1791,0.38448,0,0,0,0.62329,1,2,3,2,0,2
