,source,target,value
0,boston_Agassiz,boston_Allston,0.139371
1,boston_Agassiz,boston_Area2MIT,0.75733
2,boston_Agassiz,boston_BROOKLINE_02445,0.77065
3,boston_Agassiz,boston_BROOKLINE_02446,1.54149
4,boston_Agassiz,boston_BackBay,0.14979
5,boston_Agassiz,boston_BayVillage,0
6,boston_Agassiz,boston_BeaconHill,0.277525
7,boston_Agassiz,boston_Brighton,0.24574
8,boston_Agassiz,boston_Cambridgeport,0.13498
9,boston_Agassiz,boston_Charlestown,0
10,boston_Agassiz,boston_Chinatown,0
11,boston_Agassiz,boston_Dorchester,0.18778
12,boston_Agassiz,boston_Downtown,0.254275
13,boston_Agassiz,boston_EVERETT_02149,0.086275
14,boston_Agassiz,boston_EastBoston,0.23907
15,boston_Agassiz,boston_EastCambridge,0.481825
16,boston_Agassiz,boston_Fenway,0.74821
17,boston_Agassiz,boston_JamaicaPlain,0.35079
18,boston_Agassiz,boston_LeatherDistrict,0
19,boston_Agassiz,boston_LongwoodMedicalArea,0.17088
20,boston_Agassiz,boston_MEDFORD_02155,0.046896
21,boston_Agassiz,boston_MidCambridge,1.467485
22,boston_Agassiz,boston_MissionHill,0.259295
23,boston_Agassiz,boston_NeighborhoodNine,1.6128
24,boston_Agassiz,boston_NorthCambridge,0.788
25,boston_Agassiz,boston_NorthEnd,0.118345
26,boston_Agassiz,boston_Riverside,0.264695
27,boston_Agassiz,boston_Roxbury,0.09092
28,boston_Agassiz,boston_SOMERVILLE_02143,2.7623
29,boston_Agassiz,boston_SOMERVILLE_02144,0.345992
30,boston_Agassiz,boston_SOMERVILLE_02145,0
31,boston_Agassiz,boston_SouthBoston,0
32,boston_Agassiz,boston_SouthBostonWaterfront,0
33,boston_Agassiz,boston_SouthEnd,0.0200535
34,boston_Agassiz,boston_ThePort,0
35,boston_Agassiz,boston_WATERTOWN_02472,0
36,boston_Agassiz,boston_WellingtonHarrington,0.8182
37,boston_Agassiz,boston_WestCambridge,0.18042
38,boston_Agassiz,boston_WestEnd,0.2948055
39,boston_Agassiz,chicago_ArmourSquare,0.07403
40,boston_Agassiz,chicago_Bridgeport,0
41,boston_Agassiz,chicago_Douglas,0
