,lat,lng,tree,sky
0,41.822104,-87.638433668,12645.0,72650.5
1,41.822104,-87.6404481837,17465.5,60196.75
2,41.822104,-87.6424626994,1651.5,38577.25
3,41.822104,-87.6444772151,53384.0,19716.0
4,41.822104,-87.6505207622,13520.25,68536.25
5,41.823604,-87.6263465738,28895.0,43892.0
6,41.823604,-87.6283610895,41837.5,62945.75
7,41.823604,-87.6303756052,7462.5,76927.25
8,41.823604,-87.6323901209,15870.25,57627.0
9,41.823604,-87.6344046366,9224.5,69397.25
10,41.823604,-87.6364191523,36226.6666667,2544.66666667
11,41.823604,-87.638433668,5072.25,47942.5
12,41.823604,-87.6404481837,8621.75,73865.75
13,41.823604,-87.6424626994,2938.25,44489.0
14,41.823604,-87.6444772151,35199.75,46481.75
15,41.823604,-87.6464917308,3207.0,64195.0
16,41.823604,-87.6485062465,9099.25,68486.75
17,41.823604,-87.6505207622,10996.0,65677.5
18,41.823604,-87.6525352779,1567.25,71827.25
19,41.823604,-87.6545497935,8973.5,59418.75
20,41.823604,-87.6565643092,46846.75,36602.0
21,41.823604,-87.6585788249,5432.0,75561.0
22,41.823604,-87.6605933406,16824.25,67544.75
23,41.823604,-87.6626078563,38523.25,45741.5
24,41.825104,-87.6203030267,41283.0,23369.5
25,41.825104,-87.6243320581,60717.75,39312.5
26,41.825104,-87.6263465738,48257.75,60801.5
27,41.825104,-87.6303756052,11927.0,65418.75
28,41.825104,-87.6344046366,46540.75,63152.5
29,41.825104,-87.6364191523,31573.5,55569.25
30,41.825104,-87.638433668,45651.0,45469.0
31,41.825104,-87.6404481837,14604.0,59821.5
32,41.825104,-87.6424626994,64930.0,19342.5
33,41.825104,-87.6444772151,62919.0,26363.5
34,41.825104,-87.6464917308,8622.0,53566.0
35,41.825104,-87.6485062465,13729.0,71589.0
36,41.825104,-87.6505207622,2593.75,51353.75
37,41.825104,-87.6525352779,18248.0,70480.0
38,41.825104,-87.6545497935,25712.5,65706.25
39,41.825104,-87.6605933406,15134.75,64314.0
40,41.825104,-87.6626078563,19256.75,30991.75
41,41.825104,-87.664622372,12954.5,58204.25
42,41.825104,-87.6666368877,57975.0,24403.25
43,41.825104,-87.6686514034,54568.25,30113.25
44,41.825104,-87.6706659191,48098.5,41638.25
45,41.826604,-87.6162739953,89183.75,30468.0
46,41.826604,-87.618288511,30637.75,36727.0
47,41.826604,-87.6203030267,42188.75,56083.75
48,41.826604,-87.6223175424,56345.75,44454.25
49,41.826604,-87.6243320581,23096.5,37499.0
50,41.826604,-87.6263465738,41611.5,54454.5
51,41.826604,-87.6303756052,12397.0,64397.75
52,41.826604,-87.6344046366,59151.5,41871.5
53,41.826604,-87.638433668,45125.5,26605.0
54,41.826604,-87.6404481837,69170.75,15176.75
55,41.826604,-87.6424626994,63257.0,10202.0
56,41.826604,-87.6444772151,51608.5,37260.0
57,41.826604,-87.6464917308,60788.5,34866.25
58,41.826604,-87.6485062465,69282.0,35650.0
59,41.826604,-87.6505207622,100936.5,16258.75
60,41.826604,-87.6525352779,24755.75,61022.75
61,41.826604,-87.6545497935,26982.0,48706.75
62,41.826604,-87.6605933406,1448.25,43429.5
63,41.826604,-87.6626078563,1864.25,33416.0
64,41.826604,-87.664622372,1528.5,39493.25
65,41.826604,-87.6666368877,42655.0,35194.5
66,41.826604,-87.6686514034,41663.75,33734.75
67,41.826604,-87.6706659191,46416.0,23276.25
68,41.826604,-87.6726804348,33726.0,29642.75
69,41.826604,-87.6746949505,54112.5,26318.0
70,41.828104,-87.6142594796,69530.75,38009.25
71,41.828104,-87.6162739953,72961.75,22118.25
72,41.828104,-87.618288511,30431.5,43584.25
73,41.828104,-87.6203030267,67273.25,22722.5
74,41.828104,-87.6263465738,37584.75,18792.0
75,41.828104,-87.6283610895,45255.75,78055.0
76,41.828104,-87.6303756052,9348.25,58512.5
77,41.828104,-87.6323901209,27526.0,51791.25
78,41.828104,-87.6344046366,35946.5,55061.0
79,41.828104,-87.638433668,96226.25,5071.0
80,41.828104,-87.6404481837,62020.0,16965.25
81,41.828104,-87.6424626994,50883.25,28572.5
82,41.828104,-87.6444772151,63727.5,16910.0
83,41.828104,-87.6464917308,29749.0,46594.5
84,41.828104,-87.6505207622,48924.75,41070.5
85,41.828104,-87.6666368877,32230.0,30206.75
86,41.828104,-87.6686514034,61846.75,11378.25
87,41.828104,-87.6706659191,76569.0,3292.25
88,41.828104,-87.6726804348,81684.25,1429.75
89,41.828104,-87.6746949505,42914.0,22253.25
90,41.828104,-87.6767094662,75832.0,20931.25
91,41.828104,-87.6787239819,80570.5,12548.0
92,41.829604,-87.6082159325,27273.0,37451.5
93,41.829604,-87.6102304482,41554.5,44203.0
