,lat,lng,tree,sky
0,40.694283,-73.959170082,8528.75,42212.0
1,40.694283,-73.9611500442,2450.5,27803.25
2,40.694283,-73.9631300063,5612.75,20586.0
3,40.694283,-73.9651099685,18297.75,18843.0
4,40.694283,-73.9670899306,5909.25,27950.0
5,40.694283,-73.9690698927,49104.75,14002.75
6,40.694283,-73.9710498549,41751.0,22078.25
7,40.694283,-73.973029817,30075.25,21129.75
8,40.694283,-73.9769897413,63003.25,22971.75
9,40.695783,-73.9492702713,38685.75,11076.5
10,40.695783,-73.9552101577,728.25,22543.5
11,40.695783,-73.9571901199,2961.25,20992.75
12,40.695783,-73.959170082,9344.5,14983.0
13,40.695783,-73.9611500442,5648.5,20889.25
14,40.695783,-73.9631300063,18666.5,37065.75
15,40.695783,-73.9651099685,4873.75,48359.5
16,40.695783,-73.9670899306,10835.0,67184.5
17,40.695783,-73.9690698927,1722.75,16425.25
18,40.695783,-73.9710498549,1509.75,22299.25
19,40.695783,-73.973029817,16125.0,13407.0
20,40.695783,-73.9750097792,3931.75,7263.5
21,40.695783,-73.9769897413,26364.0,14821.0
22,40.695783,-73.9789697035,7013.0,5946.75
23,40.695783,-73.9809496656,26865.5,24690.0
24,40.695783,-73.9829296278,1461.25,28368.75
25,40.695783,-73.9849095899,7724.5,37773.5
26,40.695783,-73.9868895521,1404.25,24477.0
27,40.697283,-73.9433303849,59175.75,12635.5
28,40.697283,-73.9472903091,50188.5,23332.0
29,40.697283,-73.9492702713,43887.75,9512.75
30,40.697283,-73.9512502334,14643.75,38101.75
31,40.697283,-73.9532301956,1422.25,37547.75
32,40.697283,-73.9552101577,965.75,56329.25
33,40.697283,-73.9571901199,9171.5,7228.0
34,40.697283,-73.9631300063,47317.25,40100.25
35,40.697283,-73.9651099685,1086.5,5556.0
36,40.697283,-73.9690698927,291.0,33079.5
37,40.697283,-73.9710498549,8388.25,39449.0
38,40.697283,-73.973029817,4261.75,24425.0
39,40.697283,-73.9769897413,30915.0,26120.5
40,40.697283,-73.9809496656,34626.5,57805.75
41,40.697283,-73.9829296278,9622.5,22101.0
42,40.697283,-73.9849095899,4521.0,38213.75
43,40.697283,-73.9868895521,23044.5,9571.75
44,40.697283,-73.9888695142,21012.0,17235.75
45,40.697283,-73.9908494763,50119.5,21242.25
46,40.697283,-73.9928294385,1708.25,14686.0
47,40.698783,-73.9393704606,26372.75,16419.5
48,40.698783,-73.9413504227,18136.0,30264.75
49,40.698783,-73.945310347,52961.75,32664.0
50,40.698783,-73.9472903091,17243.5,56747.5
51,40.698783,-73.9492702713,20052.25,44170.5
52,40.698783,-73.9532301956,31670.25,22412.25
53,40.698783,-73.9552101577,766.25,35475.5
54,40.698783,-73.9571901199,319.5,26931.5
55,40.698783,-73.959170082,1632.75,20530.0
56,40.698783,-73.9611500442,31350.25,18314.5
57,40.698783,-73.9631300063,46406.0,40109.5
58,40.698783,-73.9809496656,46620.0,24813.5
59,40.698783,-73.9829296278,16307.0,41716.25
60,40.698783,-73.9849095899,85064.25,28776.5
61,40.698783,-73.9868895521,15410.5,27681.75
62,40.698783,-73.9888695142,52859.75,24001.5
63,40.698783,-73.9908494763,56554.75,13420.75
64,40.698783,-73.9928294385,16967.5,1518.25
65,40.698783,-73.9948094006,16680.75,3963.0
66,40.698783,-73.9967893628,10981.75,43172.25
67,40.700283,-73.9354105363,58102.5,19422.5
68,40.700283,-73.9373904984,14718.0,48695.5
69,40.700283,-73.9393704606,37232.75,24037.75
70,40.700283,-73.9413504227,12713.25,5783.5
71,40.700283,-73.9433303849,11337.5,26814.25
72,40.700283,-73.945310347,44141.25,28992.5
73,40.700283,-73.9472903091,6370.0,50603.75
74,40.700283,-73.9492702713,2842.75,59891.5
75,40.700283,-73.9512502334,34113.0,10323.0
76,40.700283,-73.9532301956,6094.5,18014.75
77,40.700283,-73.9552101577,15609.5,31067.75
78,40.700283,-73.9571901199,7924.5,21796.5
79,40.700283,-73.959170082,2683.25,36702.0
80,40.700283,-73.9611500442,10761.75,44827.5
81,40.700283,-73.9631300063,7440.25,70648.75
82,40.700283,-73.9809496656,26762.25,50311.25
83,40.700283,-73.9829296278,43165.5,22374.25
84,40.700283,-73.9849095899,17290.5,54330.25
85,40.700283,-73.9868895521,1642.5,55604.25
86,40.700283,-73.9888695142,6975.5,40565.25
87,40.700283,-73.9908494763,38094.75,30256.25
88,40.700283,-73.9928294385,14760.5,18009.75
89,40.700283,-73.9948094006,20080.25,2556.0
90,40.700283,-73.9967893628,23289.5,43914.5
91,40.701783,-73.931450612,39435.25,20613.25
92,40.701783,-73.9334305741,37491.5,28072.0
93,40.701783,-73.9354105363,21710.25,57133.0
94,40.701783,-73.9373904984,26532.0,30873.25
95,40.701783,-73.9413504227,3185.75,30730.25
96,40.701783,-73.9433303849,10374.25,25386.75
97,40.701783,-73.945310347,38167.5,42057.0
98,40.701783,-73.9472903091,18373.25,62099.75
99,40.701783,-73.9492702713,5736.25,58912.25
100,40.701783,-73.9512502334,15555.0,22712.5
101,40.701783,-73.9532301956,6592.75,37995.5
102,40.701783,-73.9552101577,11887.5,29323.75
103,40.701783,-73.9571901199,13486.0,24535.25
104,40.701783,-73.959170082,6176.25,25247.5
105,40.701783,-73.9611500442,29977.75,64839.5
106,40.701783,-73.9631300063,6334.75,44285.75
107,40.701783,-73.9809496656,39395.0,26255.5
108,40.701783,-73.9829296278,31611.75,26178.25
109,40.701783,-73.9849095899,923.0,38981.25
110,40.701783,-73.9868895521,5839.5,36796.5
111,40.701783,-73.9888695142,8002.5,24089.75
112,40.701783,-73.9908494763,2059.0,25966.75
113,40.701783,-73.9928294385,194.5,41977.0
114,40.701783,-73.9948094006,18266.5,17806.5
115,40.701783,-73.9967893628,101355.0,61919.75
116,40.703283,-73.9294706498,6680.75,52689.0
117,40.703283,-73.931450612,1589.25,43484.75
118,40.703283,-73.9334305741,1966.0,48306.5
119,40.703283,-73.9354105363,7656.75,46789.0
120,40.703283,-73.9373904984,33053.75,50993.25
121,40.703283,-73.9413504227,39559.5,19776.5
122,40.703283,-73.9433303849,38853.75,17910.75
123,40.703283,-73.945310347,30849.75,32833.75
124,40.703283,-73.9472903091,10908.25,40314.75
125,40.703283,-73.9492702713,12128.0,37305.25
126,40.703283,-73.9512502334,10592.75,35119.75
127,40.703283,-73.9532301956,15195.75,31538.25
128,40.703283,-73.9552101577,34510.5,8925.25
129,40.703283,-73.9571901199,20643.5,22503.75
130,40.703283,-73.959170082,44685.0,14040.75
131,40.703283,-73.9651099685,27046.25,16390.25
132,40.703283,-73.9809496656,18757.25,16786.5
133,40.703283,-73.9829296278,1383.25,34203.5
134,40.703283,-73.9849095899,90.25,12372.5
135,40.703283,-73.9868895521,274.25,14428.75
136,40.703283,-73.9888695142,6323.75,29076.0
137,40.703283,-73.9908494763,383.5,5088.0
138,40.703283,-73.9928294385,2402.75,10095.0
139,40.703283,-73.9948094006,10519.5,45179.0
140,40.703283,-73.9967893628,20010.75,54248.25
141,40.703283,-74.0066891735,4002.75,49848.25
142,40.704783,-73.9255107256,34594.25,30880.0
143,40.704783,-73.9274906877,3014.5,48569.5
144,40.704783,-73.9294706498,1609.75,59604.5
145,40.704783,-73.931450612,4550.25,45280.75
146,40.704783,-73.9334305741,8887.5,13113.5
147,40.704783,-73.9354105363,2307.5,39978.25
148,40.704783,-73.9373904984,60552.25,15746.5
149,40.704783,-73.9393704606,13908.0,32870.5
150,40.704783,-73.9413504227,23251.5,12214.5
151,40.704783,-73.9433303849,4301.25,33574.5
152,40.704783,-73.945310347,53056.5,19480.5
153,40.704783,-73.9472903091,46922.25,34308.25
154,40.704783,-73.9492702713,2283.5,498.0
155,40.704783,-73.9512502334,21723.0,35870.75
156,40.704783,-73.9532301956,23840.25,28281.5
157,40.704783,-73.9552101577,18230.25,22833.75
