,lat,lng,dir,city,sky,tree
0,42.298631,-71.0830938769,0,boston,9023,70845
1,42.298631,-71.0830938769,1,boston,22714,31334
2,42.298631,-71.0830938769,2,boston,28055,28888
3,42.298631,-71.0830938769,3,boston,894,73545
4,42.298631,-71.0851235962,0,boston,25597,56210
5,42.298631,-71.0851235962,1,boston,18857,69015
6,42.298631,-71.0851235962,2,boston,30713,14792
7,42.298631,-71.0851235962,3,boston,44811,18200
8,42.298631,-71.0871533155,0,boston,5302,142397
9,42.298631,-71.0871533155,1,boston,816,167083
10,42.298631,-71.0871533155,2,boston,5910,130048
11,42.298631,-71.0871533155,3,boston,6052,163253
12,42.298631,-71.0891830348,0,boston,9080,119236
13,42.298631,-71.0891830348,1,boston,17738,103966
14,42.298631,-71.0891830348,2,boston,6830,130686
15,42.298631,-71.0891830348,3,boston,28122,75587
16,42.298631,-71.0993316314,0,boston,12252,104768
17,42.298631,-71.0993316314,1,boston,5,130112
18,42.298631,-71.0993316314,2,boston,14300,105178
19,42.298631,-71.0993316314,3,boston,17138,125305
20,42.300131,-71.0729452804,0,boston,7218,93325
21,42.300131,-71.0729452804,1,boston,44610,44648
22,42.300131,-71.0729452804,2,boston,24075,38666
23,42.300131,-71.0729452804,3,boston,33955,72707
24,42.300131,-71.0749749997,0,boston,2160,61166
25,42.300131,-71.0749749997,1,boston,44253,42494
26,42.300131,-71.0749749997,2,boston,46686,40776
27,42.300131,-71.0749749997,3,boston,28039,55789
28,42.300131,-71.077004719,0,boston,31979,30219
29,42.300131,-71.077004719,1,boston,37508,24030
30,42.300131,-71.077004719,2,boston,58292,20585
31,42.300131,-71.077004719,3,boston,55843,33170
32,42.300131,-71.0790344383,0,boston,40483,19145
33,42.300131,-71.0790344383,1,boston,1409,61417
34,42.300131,-71.0790344383,2,boston,33464,40186
35,42.300131,-71.0790344383,3,boston,27677,26243
36,42.300131,-71.0810641576,0,boston,11097,45899
37,42.300131,-71.0810641576,1,boston,31827,39555
38,42.300131,-71.0810641576,2,boston,0,76860
39,42.300131,-71.0810641576,3,boston,13638,42343
40,42.300131,-71.0830938769,0,boston,12843,8294
41,42.300131,-71.0830938769,1,boston,4911,100195
42,42.300131,-71.0830938769,2,boston,9123,92499
43,42.300131,-71.0830938769,3,boston,31378,13102
44,42.300131,-71.0851235962,0,boston,12240,44483
45,42.300131,-71.0851235962,1,boston,42019,40312
46,42.300131,-71.0851235962,2,boston,68316,8582
47,42.300131,-71.0851235962,3,boston,50610,12593
48,42.300131,-71.0871533155,0,boston,1113,106452
49,42.300131,-71.0871533155,1,boston,4373,153897
50,42.300131,-71.0871533155,2,boston,1595,111526
51,42.300131,-71.0871533155,3,boston,673,93432
52,42.300131,-71.0993316314,0,boston,406,167263
53,42.300131,-71.0993316314,1,boston,1436,132074
54,42.300131,-71.0993316314,2,boston,1,159786
55,42.300131,-71.0993316314,3,boston,3039,154124
56,42.300131,-71.1013613507,0,boston,60806,70910
57,42.300131,-71.1013613507,1,boston,57723,63553
58,42.300131,-71.1013613507,2,boston,30475,77186
59,42.300131,-71.1013613507,3,boston,41061,49047
60,42.300131,-71.10339107,0,boston,34793,53210
61,42.300131,-71.10339107,1,boston,33856,55081
62,42.300131,-71.10339107,2,boston,24875,73898
63,42.300131,-71.10339107,3,boston,28060,68676
64,42.300131,-71.1054207893,0,boston,14569,86139
65,42.300131,-71.1054207893,1,boston,23451,74255
66,42.300131,-71.1054207893,2,boston,17588,104452
67,42.300131,-71.1054207893,3,boston,26886,66434
68,42.300131,-71.1074505086,0,boston,23210,88716
69,42.300131,-71.1074505086,1,boston,49217,40886
70,42.300131,-71.1074505086,2,boston,14841,70194
71,42.300131,-71.1074505086,3,boston,10609,87290
72,42.300131,-71.1094802279,0,boston,10704,95500
73,42.300131,-71.1094802279,1,boston,1169,89769
74,42.300131,-71.1094802279,2,boston,0,123445
75,42.300131,-71.1094802279,3,boston,5637,116725
76,42.301631,-71.0668561225,0,boston,19816,27866
77,42.301631,-71.0668561225,1,boston,23532,47002
78,42.301631,-71.0668561225,2,boston,8556,23749
79,42.301631,-71.0668561225,3,boston,31748,21470
80,42.301631,-71.0688858418,0,boston,1636,283
81,42.301631,-71.0688858418,1,boston,17959,64410
82,42.301631,-71.0688858418,2,boston,6658,83869
83,42.301631,-71.0688858418,3,boston,30180,9020
84,42.301631,-71.0709155611,0,boston,4980,54636
85,42.301631,-71.0709155611,1,boston,19710,54482
86,42.301631,-71.0709155611,2,boston,9909,83896
87,42.301631,-71.0709155611,3,boston,4281,69438
88,42.301631,-71.0729452804,0,boston,33691,34522
89,42.301631,-71.0729452804,1,boston,13331,50614
90,42.301631,-71.0729452804,2,boston,16112,58333
91,42.301631,-71.0729452804,3,boston,3625,55104
92,42.301631,-71.0749749997,0,boston,24731,27465
93,42.301631,-71.0749749997,1,boston,9807,104770
94,42.301631,-71.0749749997,2,boston,7998,108395
95,42.301631,-71.0749749997,3,boston,26861,11594
96,42.301631,-71.077004719,0,boston,7681,80504
