,lat,lng,dir,city,sky,tree
0,40.694283,-73.959170082,0,newyork,50564,29764
1,40.694283,-73.959170082,1,newyork,47239,1857
2,40.694283,-73.959170082,2,newyork,23788,679
3,40.694283,-73.959170082,3,newyork,47257,1815
4,40.694283,-73.9611500442,0,newyork,38156,6707
5,40.694283,-73.9611500442,1,newyork,1729,1892
6,40.694283,-73.9611500442,2,newyork,47142,1114
7,40.694283,-73.9611500442,3,newyork,24186,89
8,40.694283,-73.9631300063,0,newyork,28725,12193
9,40.694283,-73.9631300063,1,newyork,14781,614
10,40.694283,-73.9631300063,2,newyork,38745,2412
11,40.694283,-73.9631300063,3,newyork,93,7232
12,40.694283,-73.9651099685,0,newyork,27445,29579
13,40.694283,-73.9651099685,1,newyork,11317,9683
14,40.694283,-73.9651099685,2,newyork,31896,14597
15,40.694283,-73.9651099685,3,newyork,4714,19332
16,40.694283,-73.9670899306,0,newyork,44046,2583
17,40.694283,-73.9670899306,1,newyork,2847,7125
18,40.694283,-73.9670899306,2,newyork,34031,7262
19,40.694283,-73.9670899306,3,newyork,30876,6667
20,40.694283,-73.9690698927,0,newyork,28958,27104
21,40.694283,-73.9690698927,1,newyork,10235,35965
22,40.694283,-73.9690698927,2,newyork,14055,66249
23,40.694283,-73.9690698927,3,newyork,2763,67101
24,40.694283,-73.9710498549,0,newyork,22435,48619
25,40.694283,-73.9710498549,1,newyork,32749,17470
26,40.694283,-73.9710498549,2,newyork,27409,44219
27,40.694283,-73.9710498549,3,newyork,5720,56696
28,40.694283,-73.973029817,0,newyork,30343,16556
29,40.694283,-73.973029817,1,newyork,327,13085
30,40.694283,-73.973029817,2,newyork,24555,50758
31,40.694283,-73.973029817,3,newyork,29294,39902
32,40.694283,-73.9769897413,0,newyork,35664,45487
33,40.694283,-73.9769897413,1,newyork,14883,71225
34,40.694283,-73.9769897413,2,newyork,5435,89921
35,40.694283,-73.9769897413,3,newyork,35905,45380
36,40.695783,-73.9492702713,0,newyork,21113,30318
37,40.695783,-73.9492702713,1,newyork,1102,431
38,40.695783,-73.9492702713,2,newyork,21958,37111
39,40.695783,-73.9492702713,3,newyork,133,86883
40,40.695783,-73.9552101577,0,newyork,34132,1434
41,40.695783,-73.9552101577,1,newyork,27081,1364
42,40.695783,-73.9552101577,2,newyork,28961,79
43,40.695783,-73.9552101577,3,newyork,0,36
44,40.695783,-73.9571901199,0,newyork,27177,1681
45,40.695783,-73.9571901199,1,newyork,40990,2314
46,40.695783,-73.9571901199,2,newyork,15804,7735
47,40.695783,-73.9571901199,3,newyork,0,115
48,40.695783,-73.959170082,0,newyork,33365,3707
49,40.695783,-73.959170082,1,newyork,2579,21008
50,40.695783,-73.959170082,2,newyork,23100,1080
51,40.695783,-73.959170082,3,newyork,888,11583
52,40.695783,-73.9611500442,0,newyork,13950,2704
53,40.695783,-73.9611500442,1,newyork,0,2888
54,40.695783,-73.9611500442,2,newyork,46792,5065
55,40.695783,-73.9611500442,3,newyork,22815,11937
56,40.695783,-73.9631300063,0,newyork,33716,54631
57,40.695783,-73.9631300063,1,newyork,31083,2261
58,40.695783,-73.9631300063,2,newyork,26369,711
59,40.695783,-73.9631300063,3,newyork,57095,17063
60,40.695783,-73.9651099685,0,newyork,2986,1797
61,40.695783,-73.9651099685,1,newyork,64602,6579
62,40.695783,-73.9651099685,2,newyork,73862,5007
63,40.695783,-73.9651099685,3,newyork,51988,6112
64,40.695783,-73.9670899306,0,newyork,59833,14
65,40.695783,-73.9670899306,1,newyork,62988,12282
66,40.695783,-73.9670899306,2,newyork,74686,27323
67,40.695783,-73.9670899306,3,newyork,71231,3721
68,40.695783,-73.9690698927,0,newyork,26,1784
69,40.695783,-73.9690698927,1,newyork,13430,319
70,40.695783,-73.9690698927,2,newyork,15010,892
71,40.695783,-73.9690698927,3,newyork,37235,3896
72,40.695783,-73.9710498549,0,newyork,257,1272
73,40.695783,-73.9710498549,1,newyork,34503,2111
74,40.695783,-73.9710498549,2,newyork,26725,301
75,40.695783,-73.9710498549,3,newyork,27712,2355
76,40.695783,-73.973029817,0,newyork,419,2243
77,40.695783,-73.973029817,1,newyork,24710,17230
78,40.695783,-73.973029817,2,newyork,13254,41159
79,40.695783,-73.973029817,3,newyork,15245,3868
80,40.695783,-73.9750097792,0,newyork,1,1664
81,40.695783,-73.9750097792,1,newyork,8735,3241
82,40.695783,-73.9750097792,2,newyork,14199,10435
83,40.695783,-73.9750097792,3,newyork,6119,387
84,40.695783,-73.9769897413,0,newyork,33,261
85,40.695783,-73.9769897413,1,newyork,14703,22577
86,40.695783,-73.9769897413,2,newyork,26999,50736
87,40.695783,-73.9769897413,3,newyork,17549,31882
88,40.695783,-73.9789697035,0,newyork,233,5368
89,40.695783,-73.9789697035,1,newyork,13850,2886
90,40.695783,-73.9789697035,2,newyork,4274,12824
91,40.695783,-73.9789697035,3,newyork,5430,6974
92,40.695783,-73.9809496656,0,newyork,43807,21332
93,40.695783,-73.9809496656,1,newyork,39585,12179
94,40.695783,-73.9809496656,2,newyork,3228,13367
95,40.695783,-73.9809496656,3,newyork,12140,60584
96,40.695783,-73.9829296278,0,newyork,15333,580
97,40.695783,-73.9829296278,1,newyork,35802,1854
98,40.695783,-73.9829296278,2,newyork,18431,3010
99,40.695783,-73.9829296278,3,newyork,43909,401
100,40.695783,-73.9849095899,0,newyork,55344,9142
101,40.695783,-73.9849095899,1,newyork,46876,9567
102,40.695783,-73.9849095899,2,newyork,5564,8076
103,40.695783,-73.9849095899,3,newyork,43310,4113
104,40.695783,-73.9868895521,0,newyork,37907,3497
105,40.695783,-73.9868895521,1,newyork,40714,1293
106,40.695783,-73.9868895521,2,newyork,19287,800
107,40.695783,-73.9868895521,3,newyork,0,27
108,40.697283,-73.9433303849,0,newyork,33792,39371
109,40.697283,-73.9433303849,1,newyork,677,61677
110,40.697283,-73.9433303849,2,newyork,11408,69208
111,40.697283,-73.9433303849,3,newyork,4665,66447
112,40.697283,-73.9472903091,0,newyork,30706,51481
113,40.697283,-73.9472903091,1,newyork,21954,48110
114,40.697283,-73.9472903091,2,newyork,3184,64558
115,40.697283,-73.9472903091,3,newyork,37484,36605
116,40.697283,-73.9492702713,0,newyork,7922,62562
117,40.697283,-73.9492702713,1,newyork,1100,117
118,40.697283,-73.9492702713,2,newyork,28991,39440
119,40.697283,-73.9492702713,3,newyork,38,73432
120,40.697283,-73.9512502334,0,newyork,27306,32516
121,40.697283,-73.9512502334,1,newyork,46542,5615
122,40.697283,-73.9512502334,2,newyork,39861,3658
123,40.697283,-73.9512502334,3,newyork,38698,16786
124,40.697283,-73.9532301956,0,newyork,62857,3110
125,40.697283,-73.9532301956,1,newyork,38539,2255
126,40.697283,-73.9532301956,2,newyork,0,282
127,40.697283,-73.9532301956,3,newyork,48795,42
128,40.697283,-73.9552101577,0,newyork,69231,333
129,40.697283,-73.9552101577,1,newyork,68998,725
130,40.697283,-73.9552101577,2,newyork,57122,15
131,40.697283,-73.9552101577,3,newyork,29966,2790
132,40.697283,-73.9571901199,0,newyork,15371,8116
133,40.697283,-73.9571901199,1,newyork,5,20870
134,40.697283,-73.9571901199,2,newyork,13536,3766
135,40.697283,-73.9571901199,3,newyork,0,3934
136,40.697283,-73.9631300063,0,newyork,34549,57285
137,40.697283,-73.9631300063,1,newyork,48482,37964
138,40.697283,-73.9631300063,2,newyork,54033,27160
139,40.697283,-73.9631300063,3,newyork,23337,66860
140,40.697283,-73.9651099685,0,newyork,1782,2539
141,40.697283,-73.9651099685,1,newyork,15419,35
142,40.697283,-73.9651099685,2,newyork,0,1714
143,40.697283,-73.9651099685,3,newyork,5023,58
144,40.697283,-73.9690698927,0,newyork,64971,686
145,40.697283,-73.9690698927,1,newyork,12211,114
146,40.697283,-73.9690698927,2,newyork,29596,349
147,40.697283,-73.9690698927,3,newyork,25540,15
148,40.697283,-73.9710498549,0,newyork,41794,146
149,40.697283,-73.9710498549,1,newyork,26077,22760
150,40.697283,-73.9710498549,2,newyork,49207,9506
151,40.697283,-73.9710498549,3,newyork,40718,1141
152,40.697283,-73.973029817,0,newyork,23542,3
153,40.697283,-73.973029817,1,newyork,11715,534
154,40.697283,-73.973029817,2,newyork,26843,16510
155,40.697283,-73.973029817,3,newyork,35600,0
156,40.697283,-73.9769897413,0,newyork,31992,37817
157,40.697283,-73.9769897413,1,newyork,8226,55731
158,40.697283,-73.9769897413,2,newyork,20063,29579
159,40.697283,-73.9769897413,3,newyork,44201,533
160,40.697283,-73.9809496656,0,newyork,68396,26111
161,40.697283,-73.9809496656,1,newyork,69278,23302
162,40.697283,-73.9809496656,2,newyork,45509,53962
163,40.697283,-73.9809496656,3,newyork,48040,35131
164,40.697283,-73.9829296278,0,newyork,36221,10911
165,40.697283,-73.9829296278,1,newyork,0,152
166,40.697283,-73.9829296278,2,newyork,28746,7667
167,40.697283,-73.9829296278,3,newyork,23437,19760
168,40.697283,-73.9849095899,0,newyork,34977,1032
169,40.697283,-73.9849095899,1,newyork,23421,7573
170,40.697283,-73.9849095899,2,newyork,57622,8509
171,40.697283,-73.9849095899,3,newyork,36835,970
172,40.697283,-73.9868895521,0,newyork,615,122
173,40.697283,-73.9868895521,1,newyork,14670,32965
174,40.697283,-73.9868895521,2,newyork,3347,42669
175,40.697283,-73.9868895521,3,newyork,19655,16422
176,40.697283,-73.9888695142,0,newyork,27325,14987
177,40.697283,-73.9888695142,1,newyork,22986,46649
178,40.697283,-73.9888695142,2,newyork,18630,20831
179,40.697283,-73.9888695142,3,newyork,2,1581
180,40.697283,-73.9908494763,0,newyork,18791,45400
181,40.697283,-73.9908494763,1,newyork,503,96880
182,40.697283,-73.9908494763,2,newyork,34225,33125
183,40.697283,-73.9908494763,3,newyork,31450,25073
184,40.697283,-73.9928294385,0,newyork,12716,417
185,40.697283,-73.9928294385,1,newyork,28427,5875
186,40.697283,-73.9928294385,2,newyork,4376,167
187,40.697283,-73.9928294385,3,newyork,13225,374
188,40.698783,-73.9393704606,0,newyork,0,886
189,40.698783,-73.9393704606,1,newyork,32495,29032
190,40.698783,-73.9393704606,2,newyork,5087,53500
191,40.698783,-73.9393704606,3,newyork,28096,22073
192,40.698783,-73.9413504227,0,newyork,32274,11579
193,40.698783,-73.9413504227,1,newyork,9473,5314
194,40.698783,-73.9413504227,2,newyork,53892,30283
195,40.698783,-73.9413504227,3,newyork,25420,25368
196,40.698783,-73.945310347,0,newyork,4541,72985
197,40.698783,-73.945310347,1,newyork,38079,40555
198,40.698783,-73.945310347,2,newyork,41518,55862
199,40.698783,-73.945310347,3,newyork,46518,42445
200,40.698783,-73.9472903091,0,newyork,58765,10139
201,40.698783,-73.9472903091,1,newyork,62022,15441
202,40.698783,-73.9472903091,2,newyork,47438,30401
203,40.698783,-73.9472903091,3,newyork,58765,12993
204,40.698783,-73.9492702713,0,newyork,61451,9933
205,40.698783,-73.9492702713,1,newyork,53278,9241
206,40.698783,-73.9492702713,2,newyork,20301,22593
207,40.698783,-73.9492702713,3,newyork,41652,38442
208,40.698783,-73.9532301956,0,newyork,30988,29638
209,40.698783,-73.9532301956,1,newyork,1612,51139
210,40.698783,-73.9532301956,2,newyork,46898,34842
211,40.698783,-73.9532301956,3,newyork,10151,11062
212,40.698783,-73.9552101577,0,newyork,52898,1538
213,40.698783,-73.9552101577,1,newyork,24583,355
214,40.698783,-73.9552101577,2,newyork,39294,133
215,40.698783,-73.9552101577,3,newyork,25127,1039
216,40.698783,-73.9571901199,0,newyork,25522,405
217,40.698783,-73.9571901199,1,newyork,471,106
218,40.698783,-73.9571901199,2,newyork,42757,540
219,40.698783,-73.9571901199,3,newyork,38976,227
220,40.698783,-73.959170082,0,newyork,1461,97
221,40.698783,-73.959170082,1,newyork,24579,1411
222,40.698783,-73.959170082,2,newyork,20777,4928
223,40.698783,-73.959170082,3,newyork,35303,95
224,40.698783,-73.9611500442,0,newyork,3162,79639
225,40.698783,-73.9611500442,1,newyork,32528,21692
226,40.698783,-73.9611500442,2,newyork,1673,16
227,40.698783,-73.9611500442,3,newyork,35895,24054
228,40.698783,-73.9631300063,0,newyork,52372,36373
229,40.698783,-73.9631300063,1,newyork,47198,44090
230,40.698783,-73.9631300063,2,newyork,36621,55639
231,40.698783,-73.9631300063,3,newyork,24247,49522
232,40.698783,-73.9809496656,0,newyork,21720,29580
233,40.698783,-73.9809496656,1,newyork,16280,67868
234,40.698783,-73.9809496656,2,newyork,47160,31599
235,40.698783,-73.9809496656,3,newyork,14094,57433
236,40.698783,-73.9829296278,0,newyork,43796,17363
237,40.698783,-73.9829296278,1,newyork,30640,17142
238,40.698783,-73.9829296278,2,newyork,47111,5404
239,40.698783,-73.9829296278,3,newyork,45318,25319
240,40.698783,-73.9849095899,0,newyork,13748,115494
241,40.698783,-73.9849095899,1,newyork,44882,57486
242,40.698783,-73.9849095899,2,newyork,25110,84637
243,40.698783,-73.9849095899,3,newyork,31366,82640
244,40.698783,-73.9868895521,0,newyork,31238,16962
245,40.698783,-73.9868895521,1,newyork,40543,28465
246,40.698783,-73.9868895521,2,newyork,22020,15451
247,40.698783,-73.9868895521,3,newyork,16926,764
248,40.698783,-73.9888695142,0,newyork,30819,40513
249,40.698783,-73.9888695142,1,newyork,17746,38958
250,40.698783,-73.9888695142,2,newyork,30873,57183
251,40.698783,-73.9888695142,3,newyork,16568,74785
252,40.698783,-73.9908494763,0,newyork,27152,50329
253,40.698783,-73.9908494763,1,newyork,4116,85296
254,40.698783,-73.9908494763,2,newyork,19158,42829
255,40.698783,-73.9908494763,3,newyork,3257,47765
256,40.698783,-73.9928294385,0,newyork,111,11775
257,40.698783,-73.9928294385,1,newyork,1138,16572
258,40.698783,-73.9928294385,2,newyork,10,27
259,40.698783,-73.9928294385,3,newyork,4814,39496
260,40.698783,-73.9948094006,0,newyork,2251,14091
261,40.698783,-73.9948094006,1,newyork,1498,30912
262,40.698783,-73.9948094006,2,newyork,0,2783
263,40.698783,-73.9948094006,3,newyork,12103,18937
264,40.698783,-73.9967893628,0,newyork,54752,5226
265,40.698783,-73.9967893628,1,newyork,1057,28945
266,40.698783,-73.9967893628,2,newyork,35856,9087
267,40.698783,-73.9967893628,3,newyork,81024,669
