Bishan,BukitMerah,BukitTimah,DowntownCore,Geylang,MarinaSouth,Museum,Newton,Novena,Orchard,Outram,Queenstown,RiverValley,Rochor,Sallang,SingaporeRiver,SouthernIslands,StraitsView,Tanglin,ToaPayoh
0,3.1514,6.3474,3.7813,6.8814,1.3453,5.0232,2.1459,4.215,4.9804,3.4338,3.7597,5.097,2.0319,8.7314,1.542,7.0876,0.45565,2.803,4.6157
0,0,0,0.27571,0.11561,0,0.51847,0.094643,0,0,0,0.20439,0,0,0,0,0.010735,0,0.038718,0.50148
0.62449,1.2994,0,0,1.0596,1.1025,2.0008,1.2012,1.7177,2.3501,1.1914,2.6531,1.7396,0.50274,1.2316,0.65032,0.76863,0,2.4538,1.4802
0.52276,3.4804,0.74817,0,3.8857,1.2605,3.0656,0.93003,3.3193,3.5157,5.2891,2.8311,0.88195,6.4106,2.0872,6.894,1.7291,3.0247,0.56275,4.2547
1.4944,0,0.53721,0.74405,0,0.68806,0.27203,0.46983,0.36687,0.41439,0.40659,0.88642,0,1.5598,3.3392,0.19012,0,0.23659,0.67696,0.42008
8.5019,5.6953,9.503,0.69562,0.8427,0,6.3808,2.4279,8.2015,4.0889,3.0685,15.402,5.6437,0.60988,3.8437,3.1621,4.0616,5.7595,13.356,3.0941
0.35924,0.088685,1.0028,0.24039,0.19559,0.63731,0,0,0.34203,0.4452,0.20896,1.1856,0,0.3686,1.1117,0.2623,0.34273,0,0.48118,0.4724
0.8179,0.97922,0.73958,1.8161,2.0294,0,1.4611,0,1.803,3.2909,0.96666,0.8265,2.2103,0.11282,1.1461,1.628,0,0,0,0.60024
0,0.64511,0.53875,0,0.97197,0.17149,1.7219,1.8047,0,0.6364,1.1225,0.56152,1.5987,0.15432,0.54207,0.16596,0,0,0.66579,0.57339
0.45211,0,0.52673,0.84008,0,0,0.84506,0,0,0,0.15496,0,0.73877,0.82266,0.43242,0.46746,0,0,0.27613,0
0.21149,0.37618,0,0.18009,0.47766,0,0,0,0,0.24223,0,0,0,0.22617,0,0.45677,0,0.51371,0,0.17834
0,0.020845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11148,0.22116
0.49211,0.91673,0.56546,1.551,0.57975,0.070732,0.42675,1.8483,0.61886,2.6536,1.2628,0.46684,0,1.0786,0.54707,2.6183,0.12286,0,0.96318,0.67155
1.544,0.94016,0,0.27104,4.1918,0.061703,1.0305,0.75277,1.4036,2.4118,5.9384,0,0.89365,0,4.2448,3.4997,1.0111,0,0.17903,2.1479
0.079317,0.48332,0,0.22354,0.0011471,0,0,0,0,0,0.30402,0,0,0,0,0,0,0,0,0
0,0.41012,0.80646,0.39663,2.3458,0.27761,1.6844,0.35027,0.61419,0.50058,1.0275,0.63992,0.53544,1.81,0.29702,0,0.94292,0,0.22366,1.183
5.4593,9.4453,14.655,1.5912,4.4084,5.579,5.8306,9.8398,7.9223,2.7992,2.9274,6.6226,4.8788,4.4828,4.4528,3.1948,0,0.96411,8.3413,5.5498
0.30847,1.0018,0.50755,3.8929,0.93649,2.1773,0,0,0,0,1.4676,0,0.20245,0,2.1385,0.34662,0.37966,0,0,0
0.44779,3.0241,0.27208,0,0,1.4464,0.91832,0.81203,1.1193,0.6378,1.2155,1.146,2.2383,0.1127,0,0.099266,0.79089,0,0,1.3303
0.052433,0.80821,0,0,0.63778,0.209,0.40994,0.19004,0.77024,0,0.43864,0.56505,0.81193,0.19759,0.92561,0.84074,0,0,0.20692,0
