,fsz,lat,lng,rm,sz,url,use,val,yr,price
0,1288,42.286256,-71.120207,,21969,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=224+Florence+St&citystatezip=02131,Condominium,360741,2011,"$399,000"
1,2040,42.2483,-71.115951,7,8276,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=124+Summit+St&citystatezip=02136,SingleFamily,629907,2000,"$599,000"
2,,42.30703,-71.11543,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=77+South+St&citystatezip=02130,Apartment,,,"$644,900"
3,3132,42.244716,-71.121903,13,7046,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=112+Washington+St&citystatezip=02136,SingleFamily,510706,1880,"$218,000"
4,1421,42.380374,-71.033872,7,1750,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=87+White+St&citystatezip=02128,SingleFamily,339559,1900,"$389,900"
5,1528,42.350753,-71.086331,5,1742,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=360+Marlborough+St&citystatezip=02115,Condominium,1919821,1875,"$2,099,000"
6,1147,42.3662,-71.06725,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=8+Whittier+Pl&citystatezip=02114,MultiFamily5Plus,,1964,"$736,000"
7,2256,42.38243,-71.033284,10,1742,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=2+Putnam+St&citystatezip=02128,MultiFamily2To4,417105,1900,"$489,000"
8,1654,42.31189,-71.090065,6,1742,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=123+Ruthven+St&citystatezip=02121,Condominium,343037,2004,"$241,000"
9,1168,42.30887,-71.059367,7,2178,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=265+Hancock+St&citystatezip=02125,SingleFamily,312712,1900,"$225,000"
10,1926,42.333774,-71.036849,11,1045,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=587+E+5th&citystatezip=02127,Duplex,711434,1890,
11,399,42.343083,-71.103753,2,399,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=116+Riverway+APT&citystatezip=02215,Condominium,342145,1918,"$319,900"
12,598,42.303811,-71.116252,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=39+Hampstead+Rd&citystatezip=02130,Townhouse,423774,1986,"$239,900"
13,600,42.327227,-71.108202,3,600,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=240+Heath+St&citystatezip=02130,Condominium,299462,1910,"$319,900"
14,1578,42.344594,-71.064406,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=40+Traveler+St&citystatezip=02118,Condominium,1901456,,"$729,000"
15,,42.34943,-71.13229,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1258+Commonwealth+Ave&citystatezip=02134,MultiFamily2To4,289873,1920,"$425,000"
16,760,42.339447,-71.080154,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=777+Tremont+St&citystatezip=02118,MultiFamily2To4,971530,,"$439,900"
17,1209,42.27354,-71.147425,6,6534,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=49+Partridge+St&citystatezip=02132,SingleFamily,409455,1950,"$499,900"
18,3965,42.355358,-71.131156,,2178,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=15A+Linden+St&citystatezip=02134,MultiFamily2To4,1451474,1900,"$1,750,000"
