lat,lng,dir,city,D1,D2,M
42.298631,-71.0830938769,0,boston,#dbcdad,#e3ded3,#696a64
42.298631,-71.0830938769,1,boston,#170a00,#e8e2d1,#655843
42.298631,-71.0830938769,2,boston,#f0dbbc,#ae916a,#605642
42.298631,-71.0830938769,3,boston,#bacfe3,#dcdcda,#656a64
42.298631,-71.0851235962,0,boston,#8ba5c1,#683a2b,#e9e8e5
42.298631,-71.0851235962,1,boston,#f5f5ee,#cac1b1,#f5f5ee
42.298631,-71.0851235962,2,boston,#152200,#ebf3f5,#8e8c83
42.298631,-71.0851235962,3,boston,#929a5e,#7b5d40,#535b59
42.298631,-71.0871533155,0,boston,,,
42.298631,-71.0871533155,1,boston,,,
42.298631,-71.0871533155,2,boston,#b9bacb,#9e8ea8,#81738a
42.298631,-71.0871533155,3,boston,,,
42.298631,-71.0891830348,0,boston,,,
42.298631,-71.0891830348,1,boston,,,
42.298631,-71.0891830348,2,boston,,,
42.298631,-71.0891830348,3,boston,#e3e6ec,#f1f1ef,#f1f1ef
42.298631,-71.0993316314,0,boston,,,
42.298631,-71.0993316314,1,boston,,,
42.298631,-71.0993316314,2,boston,,,
42.298631,-71.0993316314,3,boston,#eae4eb,#beafb0,#cecfce
42.300131,-71.0729452804,0,boston,#f2f9f4,#eef4ee,#42443d
42.300131,-71.0729452804,1,boston,#d2d5dc,#cbbcbb,#6f7071
42.300131,-71.0729452804,2,boston,#dde0e3,#615038,#afb0ab
42.300131,-71.0729452804,3,boston,#6b5033,#d8cec4,#dfdcd6
42.300131,-71.0749749997,0,boston,#d0c5a7,#ebeeec,#ebeeec
42.300131,-71.0749749997,1,boston,#e6ebea,#ced6d9,#e6ebea
42.300131,-71.0749749997,2,boston,,,
42.300131,-71.0749749997,3,boston,#efc9b7,#d4ac92,#ddb1a1
42.300131,-71.077004719,0,boston,#caa281,#dacaae,#dbd9d1
42.300131,-71.077004719,1,boston,#926d3f,#3f2f10,#5e5c50
42.300131,-71.077004719,2,boston,#d4c6af,#c6b59a,#545049
42.300131,-71.077004719,3,boston,#c8a68b,#ab986a,#bdb5aa
42.300131,-71.0790344383,0,boston,#dbb59d,#a35d5e,#584839
42.300131,-71.0790344383,1,boston,#b08e6a,#61472a,#56493d
42.300131,-71.0790344383,2,boston,#6c621f,#efeeeb,#efeeeb
42.300131,-71.0790344383,3,boston,#be595c,#582208,#edebe6
42.300131,-71.0810641576,0,boston,#f7f6f4,#dbddda,#dbddda
42.300131,-71.0810641576,1,boston,#191901,#f2f0ed,#8d8982
42.300131,-71.0810641576,2,boston,#eaecec,#dcdad0,#797971
42.300131,-71.0810641576,3,boston,#073728,#468969,#595d51
42.300131,-71.0830938769,0,boston,#e6e5e1,#cdc7bc,#6d6150
42.300131,-71.0830938769,1,boston,#e3dcda,#979364,#e3dcda
42.300131,-71.0830938769,2,boston,#515f36,#677182,#7f8480
42.300131,-71.0830938769,3,boston,#e4ddd5,#d0bfb3,#756550
42.300131,-71.0851235962,0,boston,#6b8caa,#65352d,#cec0b8
42.300131,-71.0851235962,1,boston,#ede2cb,#e0d2be,#a8998c
42.300131,-71.0851235962,2,boston,#3e2316,#acb8c0,#acb8c0
42.300131,-71.0851235962,3,boston,#cfd9e0,#afb9c1,#4e4137
42.300131,-71.0871533155,0,boston,,,
42.300131,-71.0871533155,1,boston,,,
42.300131,-71.0871533155,2,boston,,,
42.300131,-71.0871533155,3,boston,,,
42.300131,-71.0993316314,0,boston,#877491,#746154,#50433d
42.300131,-71.0993316314,1,boston,#c0acc6,#333d1a,#827890
42.300131,-71.0993316314,2,boston,#4e543d,#604d54,#23201f
42.300131,-71.0993316314,3,boston,,,
42.300131,-71.1013613507,0,boston,,,
42.300131,-71.1013613507,1,boston,,,
42.300131,-71.1013613507,2,boston,#d9dee4,#ccd1dc,#c7c9d1
42.300131,-71.1013613507,3,boston,#cbcbd5,#8a97a9,#cbcbd5
42.300131,-71.10339107,0,boston,#b78e78,#7f543a,#b78e78
42.300131,-71.10339107,1,boston,#c59f8a,#2c1605,#b28d77
42.300131,-71.10339107,2,boston,#d5d8d7,#c7cbcb,#d5d8d7
42.300131,-71.10339107,3,boston,,,
42.300131,-71.1054207893,0,boston,,,
42.300131,-71.1054207893,1,boston,,,
42.300131,-71.1054207893,2,boston,#9b9ba4,#626e58,#4b4547
