lat,lng,_r,_g,_b
41.822104,-87.63843367,0.120805369,0.198931909,0.338914027
41.822104,-87.64044818,0.109938434,0.204643629,0.403485839
41.822104,-87.6424627,0.036129862,0.39507772,0.327813163
41.822104,-87.64447722,0.219791667,0.06116208,0.293109244
41.822104,-87.65052076,0.100840336,0.103658537,0.225098039
41.823604,-87.62634657,0.196180556,0.098461538,0.224913495
41.823604,-87.62836109,0.621212121,0.075342466,0.57254902
41.823604,-87.63037561,0.166666667,0.021978022,0.356862745
41.823604,-87.63239012,0.085549645,0.168761221,0.379880648
41.823604,-87.63440464,0.454607046,0.045170768,0.496671227
41.823604,-87.63641915,0.89957265,0.041346409,0.140469099
41.823604,-87.63843367,0.038011696,0.426542456,0.347005829
41.823604,-87.64044818,0.077586207,0.064230343,0.505882353
41.823604,-87.6424627,0.041424344,0.473890339,0.281617647
41.823604,-87.64447722,0.054964539,0.333038087,0.340573152
41.823604,-87.64649173,0.094881398,0.228302693,0.398806479
41.823604,-87.64850625,0.088020833,0.149323378,0.466884532
41.823604,-87.65052076,0.12622549,0.195402299,0.181960784
41.823604,-87.65253528,0.089542484,0.052147239,0.767058824
41.823604,-87.65454979,0.087721655,0.29960557,0.608970588
41.823604,-87.65656431,0.154127482,0.214670256,0.091053922
41.823604,-87.65857882,0.120180657,0.253221757,0.339585109
41.823604,-87.66059334,0.093693694,0.24535809,0.369607843
41.823604,-87.66260786,0.556410256,0.032483758,0.713368984
41.825104,-87.62030303,0.045891319,0.190530303,0.363261094
41.825104,-87.62433206,0.081986143,0.283006536,0.666666667
41.825104,-87.62634657,0.09454191,0.157603687,0.850980392
41.825104,-87.63037561,0.235119048,0.006615475,0.80966045
41.825104,-87.63440464,,,
41.825104,-87.63641915,0.094508976,0.087685185,0.35892323
41.825104,-87.63843367,0.088633994,0.275495547,0.350025138
41.825104,-87.64044818,0.092261905,0.209650582,0.471372549
41.825104,-87.6424627,0.085696282,0.191181785,0.361699346
41.825104,-87.64447722,0.091954023,0.026327735,0.959912854
41.825104,-87.64649173,0.054540744,0.496143463,0.406745098
41.825104,-87.64850625,0.537148594,0.090660841,0.652762923
41.825104,-87.65052076,0.075370215,0.342324247,0.262820513
41.825104,-87.65253528,0.119918699,0.092760181,0.693333333
41.825104,-87.65454979,0.130883766,0.065109297,0.696666667
41.825104,-87.66059334,0.54467354,0.01659822,0.674048443
41.825104,-87.66260786,0.149393939,0.053398058,0.425180599
41.825104,-87.66462237,0.050249934,0.416776316,0.331154684
41.825104,-87.66663689,0.042378242,0.401829966,0.285729847
41.825104,-87.6686514,0.072553897,0.220273973,0.318082789
41.825104,-87.67066592,0.056823266,0.227759095,0.320686275
41.826604,-87.616274,0.9125,0.058309038,0.67254902
41.826604,-87.61828851,0.049868248,0.256150653,0.403472222
41.826604,-87.62030303,,,
41.826604,-87.62231754,0.122807018,0.108882521,0.45620915
41.826604,-87.62433206,0.079845725,0.305781391,0.356809025
41.826604,-87.62634657,0.075757576,0.048780488,0.442156863
41.826604,-87.63037561,0.139143731,0.00957316,0.797338936
41.826604,-87.63440464,0.077294686,0.192200557,0.938562092
41.826604,-87.63843367,0.118309002,0.114214256,0.361840121
41.826604,-87.64044818,0.021505376,0.051796157,0.408184143
41.826604,-87.6424627,0.079059829,0.029093622,0.375490196
41.826604,-87.64447722,0.045068027,0.084482759,0.379084967
41.826604,-87.64649173,0.107758621,0.202726319,0.386883029
41.826604,-87.64850625,0.133655395,0.143550624,0.565490196
41.826604,-87.65052076,0.082278481,0.251592357,0.410457516
41.826604,-87.65253528,0.094301994,0.223538403,0.38010167
41.826604,-87.65454979,0.072082836,0.38723109,0.287337986
