id,lat,lng,tree,sky,entropy_mean,_r,_g,_b,color,neighborhood
0,40.694283,-73.95917008,8528.75,42212,5.805920131,0.048636474,0.651129608,0.350855236,#59301f,Williamsburg
1,40.694283,-73.96115004,2450.5,27803.25,5.890563121,0.077435312,0.088825796,0.398706287,#65605c,Williamsburg
2,40.694283,-73.96313001,5612.75,20586,5.516083668,0.072990127,0.166666667,0.303315508,#4d4640,Williamsburg
3,40.694283,-73.96510997,18297.75,18843,6.073335803,0.091726229,0.208367181,0.402287582,#665c51,Williamsburg
4,40.694283,-73.96708993,5909.25,27950,5.833006977,0.055188852,0.287840405,0.294864613,#4b3c35,Williamsburg
5,40.694283,-73.96906989,49104.75,14002.75,5.969572859,0.097748998,0.204890068,0.440216938,#706659,Williamsburg
6,40.694283,-73.97104985,41751,22078.25,5.884183823,0.142921147,0.101059495,0.412436975,#69675e,Williamsburg
7,40.694283,-73.97302982,30075.25,21129.75,5.471184475,0.056966685,0.371334837,0.347736185,#584337,Williamsburg
8,40.694283,-73.97698974,63003.25,22971.75,5.638083287,0.066529492,0.340813464,0.199719888,#322821,Williamsburg
9,40.695783,-73.94927027,38685.75,11076.5,5.815764499,0.067065073,0.310499459,0.437254902,#6f5a4c,Williamsburg
10,40.695783,-73.95521016,728.25,22543.5,5.608230378,0.244680851,0.017000241,0.411715066,#686867,Williamsburg
11,40.695783,-73.95719012,2961.25,20992.75,5.453966582,0.057234986,0.225432738,0.319694989,#51453f,Williamsburg
12,40.695783,-73.95917008,9344.5,14983,5.707653681,0.057180581,0.329451917,0.25042735,#3f322a,Williamsburg
13,40.695783,-73.96115004,5648.5,20889.25,5.85086013,0.097427766,0.17804266,0.473559121,#786f63,Williamsburg
14,40.695783,-73.96313001,18666.5,37065.75,5.274143629,0.111983711,0.073124043,0.487768441,#7c7973,Williamsburg
15,40.695783,-73.96510997,4873.75,48359.5,5.357511265,0.002900111,0.552422951,0.719500891,#b75352,Williamsburg
16,40.695783,-73.96708993,10835,67184.5,5.708628979,0.079198473,0.11456056,0.664342774,#a99f95,Williamsburg
17,40.695783,-73.96906989,1722.75,16425.25,4.979403308,0.114112524,0.52924687,0.262303922,#42371f,Williamsburg
18,40.695783,-73.97104985,1509.75,22299.25,4.981402731,0.104959631,0.554037862,0.204558824,#342917,Williamsburg
19,40.695783,-73.97302982,16125,13407,5.269236886,0.109756098,0.537117904,0.229573935,#3a2f1b,Williamsburg
20,40.695783,-73.97500978,3931.75,7263.5,4.978118225,0.122018779,0.510424155,0.233115468,#3b331d,Williamsburg
21,40.695783,-73.97698974,26364,14821,5.341045416,0.11006195,0.571918395,0.297071556,#4b3d20,Williamsburg
22,40.695783,-73.9789697,7013,5946.75,5.137543258,0.103946948,0.245382896,0.323662669,#524a3e,Williamsburg
23,40.695783,-73.98094967,26865.5,24690,5.542445119,0.066722269,0.27120561,0.321060276,#51443b,Williamsburg
24,40.695783,-73.98292963,1461.25,28368.75,5.376215781,0.101618123,0.148564835,0.312508452,#4f4b43,Williamsburg
25,40.695783,-73.98490959,7724.5,37773.5,5.775953876,0.095607235,0.092828016,0.430237358,#6d6963,Williamsburg
26,40.695783,-73.98688955,1404.25,24477,5.652651462,0.411904762,0.076513185,0.329907595,#4d5450,Williamsburg
27,40.697283,-73.94333038,59175.75,12635.5,5.708220194,0.51461039,0.459701493,0.18767507,#192d2f,Williamsburg
28,40.697283,-73.94729031,50188.5,23332,5.324213431,0.049180328,0.27746676,0.466993464,#775f56,Williamsburg
