id,lat,lng,tree,sky,entropy,H,S,V,color,neighborhood,city
0,37.713894,-122.439195,42579,35190.25,6.03550277,0.123960695,0.164368245,0.501027077,#7f7a6a,Excelsior,sanfrancisco
1,37.713894,-122.441092,4109.25,49669,5.657816336,0.124934997,0.228887699,0.406753813,#67614f,Excelsior,sanfrancisco
2,37.713894,-122.442991,1261.5,39662,5.530646149,0.279569892,0.010194015,0.701499423,#b1b2b1,Excelsior,sanfrancisco
3,37.713894,-122.444887,4409,48311.5,5.48388642,0.140761905,0.167208102,0.380029049,#605e50,Outer Mission,sanfrancisco
4,37.713894,-122.446785,9319,60918.25,5.588475555,0.112717835,0.138116454,0.490874811,#7d776b,Ocean View,sanfrancisco
5,37.713894,-122.448682,12725,56497,5.886322154,0.110698825,0.056665265,0.79365874,#cac6be,Ocean View,sanfrancisco
6,37.713894,-122.452477,22683.5,70361,6.033349101,0.123638344,0.10013089,0.704959631,#b3afa1,Ocean View,sanfrancisco
7,37.713894,-122.454375,9060,54504,5.792238645,0.111396011,0.160317895,0.420876586,#6b655a,Ocean View,sanfrancisco
8,37.715394,-122.431605,21305,54795,5.768547287,0.167032967,0.13939951,0.412903226,#69695a,Excelsior,sanfrancisco
9,37.715394,-122.433502,2882.75,49424.75,5.212064431,0.116611296,0.156721858,0.502117647,#807a6b,Excelsior,sanfrancisco
10,37.715394,-122.435401,6712.25,58704.25,5.860944086,0.225454545,0.078125,0.431372549,#6a6e65,Excelsior,sanfrancisco
11,37.715394,-122.437297,2495.75,61656.5,5.878100706,0.1208166,0.132411593,0.433794694,#6e6a5f,Excelsior,sanfrancisco
12,37.715394,-122.439195,4241.5,52318.75,5.838501367,0.072571744,0.277191372,0.244145658,#3e342d,Excelsior,sanfrancisco
13,37.715394,-122.441092,1011,45391.5,5.613947475,0.24351585,0.059144367,0.460156863,#72756e,Excelsior,sanfrancisco
14,37.715394,-122.442991,528.25,57327.5,5.299639819,0.135519126,0.117082534,0.537667699,#898679,Excelsior,sanfrancisco
15,37.715394,-122.444887,13137.25,57179.75,5.880700698,0.091421301,0.299967288,0.479529412,#7a6955,Excelsior,sanfrancisco
