,lat,lng,dir,city,sky,tree
0,41.822104,-87.638433668,0,chicago,73930,8815
1,41.822104,-87.638433668,1,chicago,67273,9403
2,41.822104,-87.638433668,2,chicago,70773,13992
3,41.822104,-87.638433668,3,chicago,78626,18370
4,41.822104,-87.6404481837,0,chicago,77733,5970
5,41.822104,-87.6404481837,1,chicago,74456,1447
6,41.822104,-87.6404481837,2,chicago,39023,39088
7,41.822104,-87.6404481837,3,chicago,49575,23357
8,41.822104,-87.6424626994,0,chicago,50179,267
9,41.822104,-87.6424626994,1,chicago,0,0
10,41.822104,-87.6424626994,2,chicago,45372,6214
11,41.822104,-87.6424626994,3,chicago,58758,125
12,41.822104,-87.6444772151,0,chicago,33696,42325
13,41.822104,-87.6444772151,1,chicago,9072,66540
14,41.822104,-87.6444772151,2,chicago,35107,36563
15,41.822104,-87.6444772151,3,chicago,989,68108
16,41.822104,-87.6505207622,0,chicago,79226,10114
17,41.822104,-87.6505207622,1,chicago,52695,19887
18,41.822104,-87.6505207622,2,chicago,65775,17325
19,41.822104,-87.6505207622,3,chicago,76449,6755
20,41.823604,-87.6263465738,0,chicago,48543,15297
21,41.823604,-87.6263465738,1,chicago,1255,59928
22,41.823604,-87.6263465738,2,chicago,50085,21162
23,41.823604,-87.6263465738,3,chicago,75685,19193
24,41.823604,-87.6283610895,0,chicago,55813,57801
25,41.823604,-87.6283610895,1,chicago,63936,34193
26,41.823604,-87.6283610895,2,chicago,70763,42364
27,41.823604,-87.6283610895,3,chicago,61271,32992
28,41.823604,-87.6303756052,0,chicago,78319,7315
29,41.823604,-87.6303756052,1,chicago,75702,8353
30,41.823604,-87.6303756052,2,chicago,76790,5168
31,41.823604,-87.6303756052,3,chicago,76898,9014
32,41.823604,-87.6323901209,0,chicago,31913,36926
33,41.823604,-87.6323901209,1,chicago,62980,13244
34,41.823604,-87.6323901209,2,chicago,64003,7480
35,41.823604,-87.6323901209,3,chicago,71612,5831
36,41.823604,-87.6344046366,0,chicago,77548,11308
37,41.823604,-87.6344046366,1,chicago,70643,13766
38,41.823604,-87.6344046366,2,chicago,57670,2402
39,41.823604,-87.6344046366,3,chicago,71728,9422
40,41.823604,-87.6364191523,0,chicago,211,31829
41,41.823604,-87.6364191523,2,chicago,686,39359
42,41.823604,-87.6364191523,3,chicago,6737,37492
43,41.823604,-87.638433668,0,chicago,74589,5151
44,41.823604,-87.638433668,1,chicago,41655,2061
45,41.823604,-87.638433668,2,chicago,9635,2527
46,41.823604,-87.638433668,3,chicago,65891,10550
47,41.823604,-87.6404481837,0,chicago,68386,6399
48,41.823604,-87.6404481837,1,chicago,73010,7634
49,41.823604,-87.6404481837,2,chicago,77135,16373
50,41.823604,-87.6404481837,3,chicago,76932,4081
51,41.823604,-87.6424626994,0,chicago,38353,2484
