,lat,lng,dir,label,label_num,ownScore,predLabel,predLabel_num,bestScore,cat_from_2,cat_from_3,cat_from_4,cat_from_5,cat_from_6,cat_from_7,cat_from_8,cat_from_9,cat_from_10,cat_from_11,cat_from_12,cat_from_13,cat_from_14,cat_from_15,cat_from_16,cat_from_17,cat_from_18,cat_from_19,cat_from_20
0,42.3000871,-71.07388708,0,Dorchester,13,0.008344,Riverside,28,0.48182,0,1,1,3,0,1,2,1,3,4,1,2,1,0,1,2,2,1,4
1,42.3000871,-71.07388708,3,Dorchester,13,0.226555,Dorchester,13,0.226555,0,2,1,3,0,1,2,8,7,1,1,2,1,8,1,10,13,6,0
2,42.30013504,-71.09966986,0,Roxbury,29,0.049399,BROOKLINE_02445,4,0.20037,1,0,1,2,0,4,6,1,7,1,1,2,1,0,1,3,2,1,0
3,42.30051556,-71.08476321,1,Dorchester,13,0.034693,Riverside,28,0.262675,0,0,1,1,0,1,2,1,7,1,1,2,1,12,1,10,2,1,4
4,42.30051556,-71.08476321,3,Dorchester,13,0.067623,Riverside,28,0.345267,1,0,1,3,0,1,3,1,7,1,1,2,4,12,15,3,17,1,4
5,42.30086437,-71.0722188,0,Dorchester,13,0.410795,Dorchester,13,0.410795,0,0,1,1,0,1,4,1,7,4,1,2,1,6,1,10,2,1,0
6,42.30094545,-71.11058371,2,JamaicaPlain,19,0.028521,Riverside,28,0.156532,1,0,1,1,0,1,2,1,7,2,1,9,1,6,3,10,2,1,0
7,42.3012184,-71.10528659,2,Roxbury,29,0.028293,LongwoodMedicalArea,21,0.372038,0,2,1,1,0,5,2,1,6,1,1,7,1,0,3,6,2,1,0
8,42.30133466,-71.08324989,1,Dorchester,13,0.094694,NorthCambridge,26,0.222956,0,0,1,1,0,1,2,1,7,1,1,2,1,12,1,10,2,1,4
9,42.30151216,-71.08418071,3,Dorchester,13,0.097515,JamaicaPlain,19,0.356301,0,0,1,3,0,1,2,1,7,1,1,2,1,12,6,3,2,1,4
10,42.30166793,-71.07830779,1,Dorchester,13,0.00232,SOMERVILLE_02145,32,0.56238,0,0,0,1,0,1,2,1,7,4,1,2,1,12,1,2,2,3,4
11,42.30178642,-71.11163488,2,JamaicaPlain,19,0.095972,Roxbury,29,0.14279,0,0,1,3,0,1,2,1,7,1,1,2,1,6,1,10,2,6,9
12,42.30198788,-71.0754589,2,Dorchester,13,0.034782,WestCambridge,39,0.322437,0,0,1,3,0,1,2,1,7,2,6,2,8,12,6,14,2,1,4
13,42.30217338,-71.07700915,0,Dorchester,13,0.008302,BROOKLINE_02445,4,0.626358,0,0,1,3,0,1,2,1,7,1,1,5,2,0,6,7,2,2,4
14,42.30220279,-71.07566432,1,Dorchester,13,0.02427,BROOKLINE_02445,4,0.13234,0,0,1,3,0,1,2,1,3,10,1,2,1,3,6,2,2,1,0
15,42.30241775,-71.11370023,1,JamaicaPlain,19,0.053352,Allston,2,0.125354,0,0,1,1,4,2,2,1,7,1,1,1,3,12,1,11,1,1,4
16,42.30273998,-71.10509471,2,JamaicaPlain,19,0.021418,MEDFORD_02155,22,0.298308,1,2,1,1,0,1,2,1,7,1,1,0,1,0,1,2,2,1,0
17,42.30298557,-71.10369093,0,JamaicaPlain,19,0.819143,JamaicaPlain,19,0.819143,1,0,1,1,0,1,2,1,7,1,1,2,1,6,6,2,2,1,5
18,42.30316725,-71.11480649,2,JamaicaPlain,19,0.020438,WestEnd,40,0.610621,0,0,1,3,0,4,2,1,7,1,1,2,1,4,6,0,2,1,0
19,42.30319935,-71.10711706,3,JamaicaPlain,19,0.023371,SOMERVILLE_02143,30,0.566191,0,0,1,1,0,0,2,1,7,2,1,2,1,6,1,10,2,1,4
20,42.3032683,-71.06528999,3,Dorchester,13,0.051372,Riverside,28,0.524647,1,0,0,3,0,1,2,1,7,1,1,5,1,12,1,2,2,12,4
21,42.3032823,-71.06587892,0,Dorchester,13,0.080785,Brighton,9,0.24849,1,2,0,1,0,1,2,1,7,2,1,2,1,4,1,10,2,8,4
22,42.30331455,-71.0720534,0,Dorchester,13,0.181153,Dorchester,13,0.181153,0,0,1,1,0,3,7,1,7,2,1,2,1,8,1,10,11,1,5
23,42.30366408,-71.07132117,0,Dorchester,13,0.136532,Area2MIT,3,0.474761,0,0,1,1,0,2,2,1,8,1,1,2,4,12,0,5,2,8,4
24,42.30383607,-71.05903486,1,Dorchester,13,0.004511,SOMERVILLE_02144,31,0.224007,0,0,1,1,0,1,2,1,7,1,1,2,1,12,1,10,2,1,4
25,42.30388603,-71.10837648,1,JamaicaPlain,19,0.002733,EastCambridge,17,0.140688,0,0,1,1,0,1,2,1,7,1,1,2,1,12,1,10,2,1,4
26,42.30389713,-71.07469932,1,Dorchester,13,0.001814,Chinatown,12,0.312714,0,1,1,1,0,1,2,1,7,1,1,2,2,12,6,2,2,3,12
27,42.30395339,-71.11839662,1,JamaicaPlain,19,0.102441,Cambridgeport,10,0.373951,0,0,1,3,0,1,2,1,7,2,6,2,1,0,1,10,8,1,0
28,42.30403391,-71.07709666,1,Dorchester,13,0.08744,MidCambridge,23,0.334245,0,2,1,1,0,1,2,1,7,2,6,2,1,6,13,14,2,8,4
29,42.30420234,-71.0816331,1,Dorchester,13,0.02482,Allston,2,0.218279,0,0,1,3,0,1,1,1,7,4,1,2,1,6,6,7,1,1,0
30,42.30432149,-71.06679579,3,Dorchester,13,0.132303,JamaicaPlain,19,0.415832,1,0,1,1,0,1,2,1,8,1,1,0,1,12,1,10,2,12,11
31,42.3044359,-71.10500437,1,JamaicaPlain,19,0.074734,Dorchester,13,0.268991,1,0,1,3,0,2,2,1,3,1,6,2,1,12,6,10,2,1,0
32,42.3044359,-71.10500437,3,JamaicaPlain,19,0.288271,Roxbury,29,0.313079,1,0,1,3,0,1,4,1,7,2,6,7,1,12,6,10,2,1,12
33,42.30463197,-71.08311145,1,Dorchester,13,0.063506,Allston,2,0.544273,0,2,1,1,0,1,2,1,7,1,6,2,1,12,6,2,2,12,4
34,42.30469315,-71.10812952,3,JamaicaPlain,19,0.000768,EastCambridge,17,0.340412,0,0,1,3,0,4,7,8,7,1,1,2,1,8,1,11,2,2,0
35,42.30474566,-71.10966983,1,JamaicaPlain,19,0.001118,SouthBoston,33,0.457756,0,0,1,1,0,3,2,1,7,1,1,2,1,0,1,2,2,8,6
36,42.30490554,-71.11150419,3,JamaicaPlain,19,0.23943,Cambridgeport,10,0.418856,0,0,1,3,0,0,2,1,7,2,1,2,1,0,1,2,2,9,4
37,42.30500289,-71.0608173,0,Dorchester,13,0.005297,Brighton,9,0.324707,0,0,1,3,0,1,2,1,7,4,6,2,1,0,4,10,2,1,0
38,42.30500289,-71.0608173,1,Dorchester,13,0.039639,Allston,2,0.081564,0,0,1,1,0,1,2,1,7,1,1,2,1,12,1,10,2,1,4
39,42.30500289,-71.0608173,3,Dorchester,13,0.002659,JamaicaPlain,19,0.535304,0,0,1,3,0,0,1,1,7,2,11,2,1,0,1,3,4,2,4
40,42.30517447,-71.06236255,0,Dorchester,13,0.156734,NorthCambridge,26,0.251973,1,0,1,1,0,1,2,1,7,4,1,2,1,0,0,3,2,1,0
41,42.30517447,-71.06236255,1,Dorchester,13,0.044685,Allston,2,0.206361,0,0,1,1,0,1,2,1,7,1,1,2,8,12,6,10,2,2,4
42,42.30517447,-71.06236255,3,Dorchester,13,0.048626,Roxbury,29,0.205207,0,0,1,3,0,1,2,1,7,1,1,2,1,0,6,14,9,1,4
43,42.30539835,-71.07101876,1,Dorchester,13,0.202169,Dorchester,13,0.202169,0,0,1,1,0,1,2,1,7,2,1,2,1,6,1,10,10,1,4
44,42.30539841,-71.11180487,0,JamaicaPlain,19,0.581223,JamaicaPlain,19,0.581223,0,0,1,3,0,1,2,3,7,1,1,2,1,12,7,3,2,8,12
45,42.30546299,-71.11948282,0,JamaicaPlain,19,0.443969,JamaicaPlain,19,0.443969,1,0,1,1,0,4,2,1,7,4,1,2,8,12,1,10,2,1,0
46,42.30546299,-71.11948282,3,JamaicaPlain,19,0.153701,Cambridgeport,10,0.166399,0,0,1,1,0,1,2,1,7,2,1,2,1,12,0,10,2,1,4
47,42.30557279,-71.08078998,2,Dorchester,13,0.02962,Allston,2,0.239435,0,1,1,3,0,1,2,1,7,2,1,2,1,12,0,7,4,1,17
48,42.30570233,-71.11314125,2,JamaicaPlain,19,0.238761,JamaicaPlain,19,0.238761,1,1,1,1,0,1,2,3,7,1,1,2,1,0,1,3,2,1,0
49,42.30576605,-71.07663321,1,Dorchester,13,0.078799,EVERETT_02149,15,0.197134,0,0,1,1,0,1,2,1,7,4,11,2,1,12,1,3,2,1,0
50,42.30576605,-71.07663321,2,Dorchester,13,0.187613,Allston,2,0.282518,0,2,1,1,0,1,6,4,7,1,1,2,1,6,6,3,2,1,4
51,42.30598109,-71.12361778,0,JamaicaPlain,19,0.062877,BROOKLINE_02445,4,0.476337,0,0,1,1,0,1,2,1,7,4,1,2,1,12,5,14,2,1,4
52,42.30602029,-71.0600504,2,Dorchester,13,0.018058,SOMERVILLE_02143,30,0.383443,0,0,1,3,0,2,2,1,7,4,1,2,1,6,5,1,1,1,6
53,42.30605606,-71.11480146,0,JamaicaPlain,19,0.016822,Roxbury,29,0.682793,0,0,1,3,0,1,6,3,7,1,6,2,1,6,1,10,8,18,12
54,42.3061085,-71.11910762,0,JamaicaPlain,19,0.073464,Riverside,28,0.516889,0,2,1,1,0,1,2,3,7,2,1,2,0,6,1,12,11,1,0
55,42.30621418,-71.1115468,0,JamaicaPlain,19,0.594815,JamaicaPlain,19,0.594815,0,0,1,1,0,1,2,1,7,1,1,2,1,12,6,10,2,1,4
56,42.30631375,-71.06718721,3,Dorchester,13,0.009576,NorthCambridge,26,0.513335,0,0,1,3,0,5,2,1,7,2,1,2,1,0,6,2,2,3,0
57,42.30631495,-71.11110355,2,JamaicaPlain,19,0.346262,JamaicaPlain,19,0.346262,0,0,1,1,0,1,2,1,7,1,1,2,1,12,1,10,2,1,4
58,42.30633721,-71.06965409,3,Dorchester,13,0.592103,Dorchester,13,0.592103,0,2,1,3,0,1,2,1,7,2,0,2,1,0,6,14,2,1,3
59,42.30634073,-71.11842856,1,JamaicaPlain,19,0.049457,NorthCambridge,26,0.65306,0,2,1,1,0,1,7,1,7,2,1,2,1,0,1,1,2,2,0
60,42.30634073,-71.11842856,2,JamaicaPlain,19,0.043019,NorthCambridge,26,0.573237,0,0,1,3,0,1,2,1,7,1,1,2,1,12,6,10,2,2,4
61,42.3065668,-71.07577866,0,Dorchester,13,0.192624,Dorchester,13,0.192624,0,0,1,3,0,1,6,1,7,4,1,2,3,6,15,10,13,1,0
62,42.3065668,-71.07577866,1,Dorchester,13,0.058427,Brighton,9,0.531552,1,0,1,1,0,1,2,1,7,1,1,2,1,6,3,2,2,6,0
63,42.30656761,-71.054482,3,Dorchester,13,0.000293,SouthBostonWaterfront,34,0.817617,1,0,0,3,0,2,2,1,7,2,1,2,1,12,6,3,8,1,0
64,42.30672055,-71.10788091,3,JamaicaPlain,19,0.227151,MidCambridge,23,0.26177,0,2,1,1,0,1,2,1,7,1,1,9,1,0,1,10,2,1,17
65,42.3069677,-71.07729923,3,Dorchester,13,0.121278,MissionHill,24,0.211752,0,0,1,1,0,1,2,1,7,1,1,2,1,12,1,10,2,1,4
