source,target,value
Agassiz,Charlestown,0
Agassiz,East Boston,0
Agassiz,Fenway,0
Agassiz,South Boston,0
Area 2/MIT,BROOKLINE_02445,0
BROOKLINE_02445,Bay Village,0
BROOKLINE_02445,Chinatown,0
BROOKLINE_02445,Downtown,0
BROOKLINE_02445,Leather District,0
BROOKLINE_02446,South Boston Waterfront,0
Back Bay,Brighton,0
Back Bay,East Boston,0
Bay Village,Charlestown,0
Bay Village,Dorchester,0
Bay Village,Leather District,0
Bay Village,MEDFORD_02155,0
Bay Village,Neighborhood Nine,0
Bay Village,SOMERVILLE_02145,0
Beacon Hill,Brighton,0
Beacon Hill,Dorchester,0
Beacon Hill,SOMERVILLE_02143,0
Beacon Hill,South Boston Waterfront,0
Beacon Hill,WATERTOWN_02472,0
Brighton,Chinatown,0
Brighton,East Boston,0
Brighton,South End,0
Cambridgeport,Leather District,0
Chinatown,Jamaica Plain,0
Chinatown,MEDFORD_02155,0
Chinatown,Mid-Cambridge,0
Chinatown,SOMERVILLE_02144,0
Dorchester,Leather District,0
Downtown,MEDFORD_02155,0
Downtown,North Cambridge,0
Downtown,WATERTOWN_02472,0
EVERETT_02149,Leather District,0
East Boston,WATERTOWN_02472,0
East Boston,West End,0
Fenway,Neighborhood Nine,0
Leather District,MEDFORD_02155,0
Leather District,Mid-Cambridge,0
Leather District,Mission Hill,0
Leather District,Neighborhood Nine,0
Leather District,North Cambridge,0
Leather District,SOMERVILLE_02143,0
Leather District,SOMERVILLE_02144,0
Leather District,SOMERVILLE_02145,0
Leather District,The Port,0
Leather District,WATERTOWN_02472,0
Leather District,Wellington-Harrington,0
Leather District,West Cambridge,0
Longwood Medical Area,North Cambridge,0
Longwood Medical Area,SOMERVILLE_02144,0
MEDFORD_02155,North End,0
MEDFORD_02155,South End,0
MEDFORD_02155,The Port,0
Mid-Cambridge,South End,0
Neighborhood Nine,South Boston,0
Neighborhood Nine,South Boston Waterfront,0
North Cambridge,North End,0
North End,SOMERVILLE_02145,0
North End,WATERTOWN_02472,0
