,lat,lng,dir,city,sky,tree
0,37.713894,-122.439195111,0,sanfrancisco,43151,41522
1,37.713894,-122.439195111,1,sanfrancisco,22640,99849
2,37.713894,-122.439195111,2,sanfrancisco,47338,27189
3,37.713894,-122.439195111,3,sanfrancisco,27632,1756
4,37.713894,-122.441092635,0,sanfrancisco,66464,3050
5,37.713894,-122.441092635,1,sanfrancisco,33254,4593
6,37.713894,-122.441092635,2,sanfrancisco,45333,3473
7,37.713894,-122.441092635,3,sanfrancisco,53625,5321
8,37.713894,-122.442990159,0,sanfrancisco,31629,3046
9,37.713894,-122.442990159,1,sanfrancisco,26600,231
10,37.713894,-122.442990159,2,sanfrancisco,67084,172
11,37.713894,-122.442990159,3,sanfrancisco,33335,1597
12,37.713894,-122.444887684,0,sanfrancisco,46475,3471
13,37.713894,-122.444887684,1,sanfrancisco,48927,9482
14,37.713894,-122.444887684,2,sanfrancisco,51281,2669
15,37.713894,-122.444887684,3,sanfrancisco,46563,2014
16,37.713894,-122.446785208,0,sanfrancisco,65200,20126
17,37.713894,-122.446785208,1,sanfrancisco,61249,8589
18,37.713894,-122.446785208,2,sanfrancisco,61564,4503
19,37.713894,-122.446785208,3,sanfrancisco,55660,4058
20,37.713894,-122.448682732,0,sanfrancisco,63959,14998
21,37.713894,-122.448682732,1,sanfrancisco,47741,16678
22,37.713894,-122.448682732,2,sanfrancisco,43181,9755
23,37.713894,-122.448682732,3,sanfrancisco,71107,9469
24,37.713894,-122.452477781,0,sanfrancisco,70265,7815
25,37.713894,-122.452477781,1,sanfrancisco,66079,43404
26,37.713894,-122.452477781,2,sanfrancisco,69508,34769
27,37.713894,-122.452477781,3,sanfrancisco,75592,4746
28,37.713894,-122.454375306,0,sanfrancisco,36573,10627
29,37.713894,-122.454375306,1,sanfrancisco,63405,3541
30,37.713894,-122.454375306,2,sanfrancisco,56068,16127
31,37.713894,-122.454375306,3,sanfrancisco,61970,5945
32,37.715394,-122.431605013,0,sanfrancisco,55249,11139
33,37.715394,-122.431605013,1,sanfrancisco,53755,43214
34,37.715394,-122.431605013,2,sanfrancisco,59002,29571
35,37.715394,-122.431605013,3,sanfrancisco,51174,1296
36,37.715394,-122.433502537,0,sanfrancisco,33179,1904
37,37.715394,-122.433502537,1,sanfrancisco,45104,3930
38,37.715394,-122.433502537,2,sanfrancisco,58219,1595
39,37.715394,-122.433502537,3,sanfrancisco,61197,4102
40,37.715394,-122.435400062,0,sanfrancisco,50659,6041
41,37.715394,-122.435400062,1,sanfrancisco,43880,9073
42,37.715394,-122.435400062,2,sanfrancisco,70453,6096
43,37.715394,-122.435400062,3,sanfrancisco,69825,5639
44,37.715394,-122.437297586,0,sanfrancisco,65229,2293
45,37.715394,-122.437297586,1,sanfrancisco,55829,174
46,37.715394,-122.437297586,2,sanfrancisco,64715,3641
47,37.715394,-122.437297586,3,sanfrancisco,60853,3875
48,37.715394,-122.439195111,0,sanfrancisco,59197,32
49,37.715394,-122.439195111,1,sanfrancisco,65090,9861
50,37.715394,-122.439195111,2,sanfrancisco,35421,6034
51,37.715394,-122.439195111,3,sanfrancisco,49567,1039
52,37.715394,-122.441092635,0,sanfrancisco,55266,828
53,37.715394,-122.441092635,1,sanfrancisco,67437,1527
54,37.715394,-122.441092635,2,sanfrancisco,26163,772
55,37.715394,-122.441092635,3,sanfrancisco,32700,917
56,37.715394,-122.442990159,0,sanfrancisco,61258,376
57,37.715394,-122.442990159,1,sanfrancisco,56385,1340
58,37.715394,-122.442990159,2,sanfrancisco,51591,396
59,37.715394,-122.442990159,3,sanfrancisco,60076,1
60,37.715394,-122.444887684,0,sanfrancisco,73943,7471
61,37.715394,-122.444887684,1,sanfrancisco,29179,28660
62,37.715394,-122.444887684,2,sanfrancisco,51766,10944
63,37.715394,-122.444887684,3,sanfrancisco,73831,5474
64,37.715394,-122.446785208,0,sanfrancisco,73041,18529
65,37.715394,-122.446785208,1,sanfrancisco,51343,20626
66,37.715394,-122.446785208,2,sanfrancisco,47669,19748
67,37.715394,-122.446785208,3,sanfrancisco,67122,10915
68,37.715394,-122.448682732,0,sanfrancisco,47521,19411
69,37.715394,-122.448682732,1,sanfrancisco,54131,13987
70,37.715394,-122.448682732,2,sanfrancisco,52858,11506
71,37.715394,-122.448682732,3,sanfrancisco,42739,31554
72,37.715394,-122.450580257,0,sanfrancisco,65424,8422
73,37.715394,-122.450580257,1,sanfrancisco,24735,10984
74,37.715394,-122.450580257,2,sanfrancisco,27321,44365
75,37.715394,-122.450580257,3,sanfrancisco,64914,2925
76,37.715394,-122.452477781,0,sanfrancisco,55976,1323
77,37.715394,-122.452477781,1,sanfrancisco,53013,2129
78,37.715394,-122.452477781,2,sanfrancisco,58351,2281
79,37.715394,-122.452477781,3,sanfrancisco,47072,2069
80,37.715394,-122.454375306,0,sanfrancisco,17376,42071
81,37.715394,-122.454375306,1,sanfrancisco,54452,20658
82,37.715394,-122.454375306,2,sanfrancisco,21539,16685
83,37.715394,-122.454375306,3,sanfrancisco,38295,17781
84,37.715394,-122.45627283,0,sanfrancisco,54298,34345
85,37.715394,-122.45627283,1,sanfrancisco,32628,8104
86,37.715394,-122.45627283,2,sanfrancisco,63625,5448
87,37.715394,-122.45627283,3,sanfrancisco,43265,59835
88,37.715394,-122.460067879,0,sanfrancisco,44721,1542
89,37.715394,-122.460067879,1,sanfrancisco,65825,3186
90,37.715394,-122.460067879,2,sanfrancisco,47454,605
91,37.715394,-122.460067879,3,sanfrancisco,51375,5764
92,37.715394,-122.461965403,0,sanfrancisco,34451,525
93,37.715394,-122.461965403,1,sanfrancisco,67593,1974
94,37.715394,-122.461965403,2,sanfrancisco,70453,6524
95,37.715394,-122.461965403,3,sanfrancisco,59529,1498
96,37.715394,-122.463862927,0,sanfrancisco,54340,545
97,37.715394,-122.463862927,1,sanfrancisco,45292,5691
98,37.715394,-122.463862927,2,sanfrancisco,56268,3946
99,37.715394,-122.463862927,3,sanfrancisco,43727,5347
100,37.716894,-122.424014916,0,sanfrancisco,4723,99819
101,37.716894,-122.424014916,1,sanfrancisco,13203,95575
102,37.716894,-122.424014916,2,sanfrancisco,8098,131316
103,37.716894,-122.424014916,3,sanfrancisco,30962,74386
104,37.716894,-122.42591244,0,sanfrancisco,41375,58156
105,37.716894,-122.42591244,1,sanfrancisco,13942,63383
106,37.716894,-122.42591244,2,sanfrancisco,49938,38775
107,37.716894,-122.42591244,3,sanfrancisco,33494,72434
108,37.716894,-122.427809964,0,sanfrancisco,80983,2696
109,37.716894,-122.427809964,1,sanfrancisco,64530,7556
110,37.716894,-122.427809964,2,sanfrancisco,48514,20154
111,37.716894,-122.427809964,3,sanfrancisco,55424,7904
112,37.716894,-122.429707489,0,sanfrancisco,42876,19497
113,37.716894,-122.429707489,1,sanfrancisco,53547,15
114,37.716894,-122.429707489,2,sanfrancisco,58190,3707
115,37.716894,-122.429707489,3,sanfrancisco,47962,640
116,37.716894,-122.431605013,0,sanfrancisco,35109,1325
117,37.716894,-122.431605013,1,sanfrancisco,51738,7619
118,37.716894,-122.431605013,2,sanfrancisco,65202,7425
119,37.716894,-122.431605013,3,sanfrancisco,64114,439
120,37.716894,-122.433502537,0,sanfrancisco,60157,2735
121,37.716894,-122.433502537,1,sanfrancisco,57509,15749
122,37.716894,-122.433502537,2,sanfrancisco,53416,3582
123,37.716894,-122.433502537,3,sanfrancisco,44294,8452
124,37.716894,-122.435400062,0,sanfrancisco,60546,14861
125,37.716894,-122.435400062,1,sanfrancisco,61173,3101
126,37.716894,-122.435400062,2,sanfrancisco,60266,1646
127,37.716894,-122.435400062,3,sanfrancisco,47963,10655
128,37.716894,-122.437297586,0,sanfrancisco,64517,5557
129,37.716894,-122.437297586,1,sanfrancisco,54080,26948
130,37.716894,-122.437297586,2,sanfrancisco,53441,3233
131,37.716894,-122.437297586,3,sanfrancisco,53712,855
132,37.716894,-122.439195111,0,sanfrancisco,39523,1172
133,37.716894,-122.439195111,1,sanfrancisco,46636,2747
134,37.716894,-122.439195111,2,sanfrancisco,63407,2743
135,37.716894,-122.439195111,3,sanfrancisco,58997,973
136,37.716894,-122.441092635,0,sanfrancisco,72636,2632
137,37.716894,-122.441092635,1,sanfrancisco,63490,599
138,37.716894,-122.441092635,2,sanfrancisco,68201,1540
139,37.716894,-122.441092635,3,sanfrancisco,68906,2880
140,37.716894,-122.442990159,0,sanfrancisco,43819,1519
141,37.716894,-122.442990159,1,sanfrancisco,44497,116
142,37.716894,-122.442990159,2,sanfrancisco,60292,3293
143,37.716894,-122.442990159,3,sanfrancisco,51788,4568
144,37.716894,-122.444887684,0,sanfrancisco,54055,16871
145,37.716894,-122.444887684,1,sanfrancisco,46520,23223
146,37.716894,-122.444887684,2,sanfrancisco,43897,25150
147,37.716894,-122.444887684,3,sanfrancisco,56468,10326
148,37.716894,-122.446785208,0,sanfrancisco,48429,14818
149,37.716894,-122.446785208,1,sanfrancisco,36810,47510
150,37.716894,-122.446785208,2,sanfrancisco,64559,10415
151,37.716894,-122.446785208,3,sanfrancisco,46689,7387
152,37.716894,-122.448682732,0,sanfrancisco,69062,18895
153,37.716894,-122.448682732,1,sanfrancisco,82562,21277
154,37.716894,-122.448682732,2,sanfrancisco,76767,18749
155,37.716894,-122.448682732,3,sanfrancisco,55057,29540
156,37.716894,-122.450580257,0,sanfrancisco,53502,4809
157,37.716894,-122.450580257,1,sanfrancisco,51260,21419
158,37.716894,-122.450580257,2,sanfrancisco,54836,14314
159,37.716894,-122.450580257,3,sanfrancisco,39890,263
160,37.716894,-122.452477781,0,sanfrancisco,51871,16761
161,37.716894,-122.452477781,1,sanfrancisco,52343,11824
162,37.716894,-122.452477781,2,sanfrancisco,40331,4942
163,37.716894,-122.452477781,3,sanfrancisco,58381,5175
164,37.716894,-122.454375306,0,sanfrancisco,63722,3972
165,37.716894,-122.454375306,1,sanfrancisco,69204,3816
166,37.716894,-122.454375306,2,sanfrancisco,64785,12152
167,37.716894,-122.454375306,3,sanfrancisco,53503,8883
168,37.716894,-122.45627283,0,sanfrancisco,66126,2320
169,37.716894,-122.45627283,1,sanfrancisco,46147,12806
170,37.716894,-122.45627283,2,sanfrancisco,58997,10532
171,37.716894,-122.45627283,3,sanfrancisco,50752,4793
172,37.716894,-122.458170354,0,sanfrancisco,41623,671
173,37.716894,-122.458170354,1,sanfrancisco,65056,4815
174,37.716894,-122.458170354,2,sanfrancisco,76222,13464
175,37.716894,-122.458170354,3,sanfrancisco,68863,5175
176,37.716894,-122.460067879,0,sanfrancisco,56528,1219
177,37.716894,-122.460067879,1,sanfrancisco,53557,398
178,37.716894,-122.460067879,2,sanfrancisco,59308,65
179,37.716894,-122.460067879,3,sanfrancisco,38070,2170
180,37.716894,-122.461965403,0,sanfrancisco,48015,1245
181,37.716894,-122.461965403,1,sanfrancisco,58469,1365
182,37.716894,-122.461965403,2,sanfrancisco,34344,833
183,37.716894,-122.461965403,3,sanfrancisco,52820,2918
184,37.716894,-122.463862927,0,sanfrancisco,60595,8763
185,37.716894,-122.463862927,1,sanfrancisco,46595,18177
186,37.716894,-122.463862927,2,sanfrancisco,54787,4048
187,37.716894,-122.463862927,3,sanfrancisco,45763,5852
188,37.716894,-122.465760452,0,sanfrancisco,66919,13573
189,37.716894,-122.465760452,1,sanfrancisco,54911,12022
190,37.716894,-122.465760452,2,sanfrancisco,56124,6567
191,37.716894,-122.465760452,3,sanfrancisco,36952,11134
192,37.716894,-122.467657976,0,sanfrancisco,64342,16682
193,37.716894,-122.467657976,1,sanfrancisco,45136,31385
194,37.716894,-122.467657976,2,sanfrancisco,56926,5989
195,37.716894,-122.467657976,3,sanfrancisco,50154,10739
196,37.716894,-122.469555501,0,sanfrancisco,61374,14793
197,37.716894,-122.469555501,1,sanfrancisco,46006,2675
198,37.716894,-122.469555501,2,sanfrancisco,61403,2015
199,37.716894,-122.469555501,3,sanfrancisco,50134,18543
200,37.718394,-122.422117391,0,sanfrancisco,1796,95572
201,37.718394,-122.422117391,1,sanfrancisco,22942,61386
