,lat,lng,dir,city,D1,D2,M
0,42.298631,-71.0830938769,0,boston,#0d202a,#4f392d,#565348
1,42.298631,-71.0830938769,1,boston,#170a00,#352511,#655843
2,42.298631,-71.0830938769,2,boston,#3d341d,#554a30,#554a30
3,42.298631,-71.0830938769,3,boston,#374b59,#171412,#171412
4,42.298631,-71.0851235962,0,boston,#142436,#683a2b,#2d2716
5,42.298631,-71.0851235962,1,boston,#252213,#10110b,#252213
6,42.298631,-71.0851235962,2,boston,#152200,#02070d,#47514f
7,42.298631,-71.0851235962,3,boston,#592e27,#7b5d40,#592e27
8,42.298631,-71.0871533155,0,boston,,,
9,42.298631,-71.0871533155,1,boston,,,
10,42.298631,-71.0871533155,2,boston,,,
11,42.298631,-71.0871533155,3,boston,,,
12,42.298631,-71.0891830348,0,boston,,,
13,42.298631,-71.0891830348,1,boston,,,
14,42.298631,-71.0891830348,2,boston,,,
15,42.298631,-71.0891830348,3,boston,,,
16,42.298631,-71.0993316314,0,boston,,,
17,42.298631,-71.0993316314,1,boston,,,
18,42.298631,-71.0993316314,2,boston,,,
19,42.298631,-71.0993316314,3,boston,,,
20,42.300131,-71.0729452804,0,boston,,,
21,42.300131,-71.0729452804,1,boston,#2e2a1e,#5c544a,#4b4942
22,42.300131,-71.0729452804,2,boston,#615038,#222520,#6c6a60
23,42.300131,-71.0729452804,3,boston,,,
24,42.300131,-71.0749749997,0,boston,#1c1b14,#7c7663,#546067
25,42.300131,-71.0749749997,1,boston,,,
26,42.300131,-71.0749749997,2,boston,,,
27,42.300131,-71.0749749997,3,boston,,,
28,42.300131,-71.077004719,0,boston,#453221,#caa281,#8d796a
29,42.300131,-71.077004719,1,boston,#3f2f10,#4f3f21,#6b5c3a
30,42.300131,-71.077004719,2,boston,#9b8167,#6e694d,#6e694d
31,42.300131,-71.077004719,3,boston,#ab986a,#b59f7a,#9a7e6a
32,42.300131,-71.0790344383,0,boston,#a35d5e,#584839,#584839
33,42.300131,-71.0790344383,1,boston,#61472a,#53412f,#53412f
34,42.300131,-71.0790344383,2,boston,#6c621f,#0f1a1e,#706e64
35,42.300131,-71.0790344383,3,boston,#582208,#be595c,#5e5a4e
36,42.300131,-71.0810641576,0,boston,#956b69,#121014,#52554e
37,42.300131,-71.0810641576,1,boston,#191901,#09160b,#74645b
38,42.300131,-71.0810641576,2,boston,#3c2825,#7f655b,#202626
39,42.300131,-71.0810641576,3,boston,#073728,#754139,#382a27
40,42.300131,-71.0830938769,0,boston,#6d6150,#292a22,#6d6150
41,42.300131,-71.0830938769,1,boston,,,
42,42.300131,-71.0830938769,2,boston,,,
43,42.300131,-71.0830938769,3,boston,#0a1304,#756550,#756550
44,42.300131,-71.0851235962,0,boston,#65352d,#597a90,#b4a69e
45,42.300131,-71.0851235962,1,boston,#141e02,#576125,#a8998c
46,42.300131,-71.0851235962,2,boston,#3e2316,#2d1c18,#453731
47,42.300131,-71.0851235962,3,boston,#262018,#3a2f26,#3a2f26
48,42.300131,-71.0871533155,0,boston,,,
49,42.300131,-71.0871533155,1,boston,,,
50,42.300131,-71.0871533155,2,boston,,,
51,42.300131,-71.0871533155,3,boston,,,
52,42.300131,-71.0993316314,0,boston,,,
53,42.300131,-71.0993316314,1,boston,,,
54,42.300131,-71.0993316314,2,boston,,,
55,42.300131,-71.0993316314,3,boston,,,
56,42.300131,-71.1013613507,0,boston,,,
57,42.300131,-71.1013613507,1,boston,,,
58,42.300131,-71.1013613507,2,boston,,,
59,42.300131,-71.1013613507,3,boston,,,
60,42.300131,-71.10339107,0,boston,,,
61,42.300131,-71.10339107,1,boston,,,
62,42.300131,-71.10339107,2,boston,,,
63,42.300131,-71.10339107,3,boston,,,
64,42.300131,-71.1054207893,0,boston,,,
65,42.300131,-71.1054207893,1,boston,,,
66,42.300131,-71.1054207893,2,boston,,,
67,42.300131,-71.1054207893,3,boston,,,
68,42.300131,-71.1074505086,0,boston,,,
69,42.300131,-71.1074505086,1,boston,,,
70,42.300131,-71.1074505086,2,boston,#04090f,#141c2e,#403a28
71,42.300131,-71.1074505086,3,boston,,,
72,42.300131,-71.1094802279,0,boston,,,
73,42.300131,-71.1094802279,1,boston,#13303a,#2f2c0f,#493e40
74,42.300131,-71.1094802279,2,boston,,,
75,42.300131,-71.1094802279,3,boston,,,
76,42.301631,-71.0668561225,0,boston,#4a5625,#181b15,#757464
77,42.301631,-71.0668561225,1,boston,#27310e,#2d3a1c,#2d3a1c
78,42.301631,-71.0668561225,2,boston,#402213,#4a3c2a,#866f5b
79,42.301631,-71.0668561225,3,boston,#c5af8e,#575441,#575441
80,42.301631,-71.0688858418,0,boston,#5a5130,#577392,#5a5130
81,42.301631,-71.0688858418,1,boston,#435863,#3e3d31,#7c7869
82,42.301631,-71.0688858418,2,boston,#2d1f15,#1b2313,#46392d
83,42.301631,-71.0688858418,3,boston,#4d4630,#605a48,#4d4630
84,42.301631,-71.0709155611,0,boston,#1f1e18,#373731,#828a85
85,42.301631,-71.0709155611,1,boston,#9bb5c5,#8f7d71,#8f7d71
86,42.301631,-71.0709155611,2,boston,#95695c,#92a367,#575d57
87,42.301631,-71.0709155611,3,boston,#283c1c,#698bb2,#7c8383
88,42.301631,-71.0729452804,0,boston,#b28b71,#161810,#89837b
89,42.301631,-71.0729452804,1,boston,#402b1d,#8696a8,#6b685f
90,42.301631,-71.0729452804,2,boston,#353931,#494d43,#353931
91,42.301631,-71.0729452804,3,boston,#362312,#2a3d16,#362312
92,42.301631,-71.0749749997,0,boston,#1f3b05,#59792d,#38251e
93,42.301631,-71.0749749997,1,boston,,,
94,42.301631,-71.0749749997,2,boston,,,
95,42.301631,-71.0749749997,3,boston,#37531f,#2e1b16,#2e1b16
96,42.301631,-71.077004719,0,boston,#b59b63,#c2b16b,#49322b
97,42.301631,-71.077004719,1,boston,#74532a,#8f7436,#483029
98,42.301631,-71.077004719,2,boston,,,
99,42.301631,-71.077004719,3,boston,#483425,#35271d,#594130
100,42.301631,-71.0790344383,0,boston,#778e9d,#151111,#534744
101,42.301631,-71.0790344383,1,boston,#553b34,#282f36,#553b34
102,42.301631,-71.0790344383,2,boston,#565427,#7f583f,#594742
103,42.301631,-71.0790344383,3,boston,#121e2a,#6e5736,#56443d
104,42.301631,-71.0810641576,0,boston,#223350,#946a47,#35506b
105,42.301631,-71.0810641576,1,boston,#204256,#315679,#515c63
106,42.301631,-71.0810641576,2,boston,#405a7f,#608498,#4d525b
107,42.301631,-71.0810641576,3,boston,#48352e,#20151a,#614c47
108,42.301631,-71.0830938769,0,boston,#4c431e,#3a2e18,#6d716a
109,42.301631,-71.0830938769,1,boston,#091e31,#090f1c,#666863
110,42.301631,-71.0830938769,2,boston,,,
111,42.301631,-71.0830938769,3,boston,#4d4d2e,#a59b8d,#a59b8d
112,42.301631,-71.0851235962,0,boston,#3a301d,#9a6c56,#181511
113,42.301631,-71.0851235962,1,boston,#1c2d46,#56452b,#403725
114,42.301631,-71.0851235962,2,boston,#473028,#a28667,#473028
115,42.301631,-71.0851235962,3,boston,,,
116,42.301631,-71.0871533155,0,boston,,,
117,42.301631,-71.0871533155,1,boston,,,
118,42.301631,-71.0871533155,2,boston,,,
119,42.301631,-71.0871533155,3,boston,,,
120,42.301631,-71.0891830348,0,boston,,,
121,42.301631,-71.0891830348,1,boston,,,
122,42.301631,-71.0891830348,2,boston,,,
123,42.301631,-71.0891830348,3,boston,,,
124,42.301631,-71.1013613507,0,boston,,,
125,42.301631,-71.1013613507,1,boston,,,
126,42.301631,-71.1013613507,2,boston,,,
127,42.301631,-71.1013613507,3,boston,,,
128,42.301631,-71.1054207893,0,boston,#1b1405,#25375a,#c09f89
129,42.301631,-71.1054207893,1,boston,,,
130,42.301631,-71.1054207893,2,boston,,,
131,42.301631,-71.1054207893,3,boston,,,
132,42.301631,-71.1074505086,0,boston,,,
133,42.301631,-71.1074505086,1,boston,,,
134,42.301631,-71.1074505086,2,boston,,,
135,42.301631,-71.1074505086,3,boston,,,
136,42.301631,-71.1094802279,0,boston,,,
137,42.301631,-71.1094802279,1,boston,,,
138,42.301631,-71.1094802279,2,boston,#5a342c,#2e241e,#5a342c
139,42.301631,-71.1094802279,3,boston,#3b2314,#442d22,#5f4538
140,42.301631,-71.1115099472,0,boston,,,
141,42.301631,-71.1115099472,1,boston,,,
142,42.301631,-71.1115099472,2,boston,#3b2d2a,#63664a,#0e100c
143,42.301631,-71.1115099472,3,boston,,,
144,42.301631,-71.1135396665,0,boston,,,
145,42.301631,-71.1135396665,1,boston,,,
146,42.301631,-71.1135396665,2,boston,,,
147,42.301631,-71.1135396665,3,boston,,,
148,42.301631,-71.1155693858,0,boston,#100700,#2f1904,#79563e
149,42.301631,-71.1155693858,1,boston,#1f1102,#42271a,#684d37
150,42.301631,-71.1155693858,2,boston,,,
151,42.301631,-71.1155693858,3,boston,,,
152,42.303131,-71.0607669646,0,boston,#1f734b,#272018,#4c4433
153,42.303131,-71.0607669646,1,boston,,,
154,42.303131,-71.0607669646,2,boston,#1d2c11,#20170e,#5c473a
155,42.303131,-71.0607669646,3,boston,#3a3b16,#645042,#645042
156,42.303131,-71.0627966839,0,boston,,,
157,42.303131,-71.0627966839,1,boston,,,
158,42.303131,-71.0627966839,2,boston,#271a12,#16131e,#384256
159,42.303131,-71.0627966839,3,boston,#26221c,#aac5e2,#68665b
160,42.303131,-71.0648264032,0,boston,,,
161,42.303131,-71.0648264032,1,boston,#5f2c38,#4e2627,#191d27
162,42.303131,-71.0648264032,2,boston,#2a3950,#5b5136,#181d22
163,42.303131,-71.0648264032,3,boston,,,
164,42.303131,-71.0668561225,0,boston,#322c24,#768ca1,#322c24
165,42.303131,-71.0668561225,1,boston,#462625,#212212,#363b32
166,42.303131,-71.0668561225,2,boston,#51623a,#455a73,#373b31
167,42.303131,-71.0668561225,3,boston,#6a849b,#9c8974,#322c26
168,42.303131,-71.0688858418,0,boston,#2c2219,#5e5248,#2c2219
169,42.303131,-71.0688858418,1,boston,#1f142b,#515147,#515147
170,42.303131,-71.0688858418,2,boston,#968170,#12110f,#41433a
171,42.303131,-71.0688858418,3,boston,#443427,#7a8552,#5f5952
172,42.303131,-71.0709155611,0,boston,#3b2a1e,#17130e,#3b2a1e
173,42.303131,-71.0709155611,1,boston,#170e06,#262118,#5c584f
174,42.303131,-71.0709155611,2,boston,#1f1600,#311a0d,#787869
175,42.303131,-71.0709155611,3,boston,#103f6d,#18508d,#103f6d
176,42.303131,-71.0749749997,0,boston,,,
177,42.303131,-71.0749749997,1,boston,,,
178,42.303131,-71.0749749997,2,boston,#131108,#232116,#5b655b
179,42.303131,-71.0749749997,3,boston,#030617,#112429,#61685c
180,42.303131,-71.077004719,0,boston,#182225,#3e5055,#182225
181,42.303131,-71.077004719,1,boston,#172126,#535e63,#172126
182,42.303131,-71.077004719,2,boston,,,
183,42.303131,-71.077004719,3,boston,#454a26,#272519,#555a5e
184,42.303131,-71.0790344383,0,boston,#4d7fa5,#496d89,#4c4535
185,42.303131,-71.0790344383,1,boston,#262c01,#19240d,#4b483d
186,42.303131,-71.0790344383,2,boston,,,
187,42.303131,-71.0790344383,3,boston,#615c45,#c3ae91,#454533
188,42.303131,-71.0810641576,0,boston,#343022,#627382,#343022
189,42.303131,-71.0810641576,1,boston,,,
190,42.303131,-71.0810641576,2,boston,#7b572d,#7e5f39,#827a64
191,42.303131,-71.0810641576,3,boston,#5c6b2b,#a2a34f,#795d43
192,42.303131,-71.0830938769,0,boston,#11192c,#7a99b7,#41423a
193,42.303131,-71.0830938769,1,boston,#201904,#c0b190,#626355
194,42.303131,-71.0830938769,2,boston,#846c4b,#5c5735,#1b1611
195,42.303131,-71.0830938769,3,boston,#141108,#334159,#322c22
196,42.303131,-71.0851235962,0,boston,,,
197,42.303131,-71.0851235962,1,boston,#5c4326,#2b221f,#665b4d
198,42.303131,-71.0851235962,2,boston,#40270c,#3d251a,#6e6156
199,42.303131,-71.0851235962,3,boston,,,
200,42.303131,-71.0912127541,0,boston,,,
201,42.303131,-71.0912127541,1,boston,,,
202,42.303131,-71.0912127541,2,boston,,,
203,42.303131,-71.0912127541,3,boston,,,
204,42.303131,-71.0993316314,0,boston,,,
205,42.303131,-71.0993316314,1,boston,,,
206,42.303131,-71.0993316314,2,boston,,,
207,42.303131,-71.0993316314,3,boston,,,
208,42.303131,-71.10339107,0,boston,,,
209,42.303131,-71.10339107,1,boston,,,
210,42.303131,-71.10339107,2,boston,,,
211,42.303131,-71.10339107,3,boston,,,
212,42.303131,-71.1054207893,0,boston,#616332,#79734d,#79734d
213,42.303131,-71.1054207893,1,boston,#4e481f,#3d2c18,#72624f
